h3_id,centroid_lat,centroid_lon,ward_id,elec_stress,water_stress,sewage_stress,pollution_stress,mobility_stress,compactness,sprawl,inequality_score,access_bus,access_metro,access_hospital,access_school,access_park
886014580bfffff,12.986232839978483,77.51052317140433,ward_111,0.7052303464694505,0.7052303464694505,0.7052303464694505,0.7218949580304957,0.17212948379525397,0.0,1.0,0.24318143099985984,1.55,1.4,0.71,0.31,9.78
8860145901fffff,13.045963158127721,77.54519527228182,ward_150,0.5417554431220535,0.5417554431220535,0.5417554431220535,0.526979510341686,0.3086885129994162,0.0015969338869370902,0.998403066113063,0.1307925661199393,1.35,1.46,3.38,0.29,5.98
8860145a13fffff,12.933870158330656,77.51386539312139,ward_136,0.34076396901842687,0.34076396901842687,0.34076396901842687,0.18674268640596897,0.27131968489822805,0.0023421697008410456,0.997657830299159,0.04810231240155546,1.42,2.41,2.9,0.49,1.08
886014592dfffff,13.068365401451867,77.55820427482367,ward_181,0.4297379900733769,0.4297379900733769,0.4297379900733769,0.9874177130989628,0.8932285156025446,0.004471414883423827,0.9955285851165762,0.07491752023066889,0.69,1.57,1.92,0.56,4.02
8860145a43fffff,12.926261301857247,77.55162135202856,ward_85,0.26498160268466775,0.26498160268466775,0.26498160268466775,0.8630963498403382,0.008087899812451806,0.0051101884381986665,0.9948898115618013,0.037333528009710404,1.33,1.96,1.06,0.45,2.57
88601696c1fffff,13.08338919473864,77.53318443698532,ward_196,0.6318190193468506,0.6318190193468506,0.6318190193468506,0.44296431490533456,0.17530858225331106,0.008250825082508243,0.9917491749174917,0.30810288604888353,0.74,3.96,1.33,1.11,12.49
8861892ca1fffff,13.068222661605231,77.60876274498547,ward_161,0.3631937860186307,0.3631937860186307,0.3631937860186307,0.9711589627713105,0.14871193761653517,0.009581603321622487,0.9904183966783775,0.03925929782337837,2.4,1.57,1.17,0.55,2.58
8860145b01fffff,12.993515958516587,77.57380031692996,ward_9,0.6868036354081251,0.6868036354081251,0.6868036354081251,0.6122476351276477,0.5894758091538288,0.009315447673799647,0.9906845523262003,0.035535821025476,1.54,2.4,2.41,0.49,1.86
8860145ac5fffff,12.933897943313653,77.50544965641919,ward_136,0.5042264291681472,0.5042264291681472,0.5042264291681472,0.9779163030085132,0.07443131306953671,0.01192377302246353,0.9880762269775365,0.027243569227064727,1.86,1.42,2.32,0.61,2.02
88601459c1fffff,13.03112329106445,77.50284733405226,ward_174,0.5789547784709743,0.5789547784709743,0.5789547784709743,0.870339860643234,0.13995630877666249,0.013414244650271481,0.9865857553497285,0.10150076879420866,0.59,4.23,2.27,0.43,3.97
886016960bfffff,13.090769469414358,77.57121707680326,ward_198,0.32493754149673054,0.32493754149673054,0.32493754149673054,0.5402099285619247,0.017621401087976052,0.015969338869370794,0.9840306611306292,0.12242699156555382,2.08,1.09,1.48,1.08,6.08
8861892485fffff,12.896244811091826,77.57638200151548,ward_149,0.5808622328276211,0.5808622328276211,0.5808622328276211,0.8344346772916849,0.3896154111093964,0.017566272756307885,0.9824337272436922,0.15264032182753795,0.49,1.8,1.13,0.5,6.62
8860145b49fffff,12.971002514823699,77.59448385371344,ward_4,0.47747368242351235,0.47747368242351235,0.47747368242351235,0.7504944231968773,0.004656980200605717,0.019801980198019806,0.9801980198019802,0.2013749682382542,0.72,3.92,1.22,0.68,8.44
88618925a1fffff,12.963476712834236,77.60699576651213,ward_21,0.3946972303090866,0.3946972303090866,0.3946972303090866,0.9525604967059547,0.1299808509898597,0.021452145214521465,0.9785478547854786,0.20255554421522926,1.14,1.77,3.25,0.97,8.98
8861892e83fffff,12.993348891711566,77.62435535566547,ward_80,0.4178415936425347,0.4178415936425347,0.4178415936425347,0.2891675010378839,0.36961410002350986,0.02235707441711913,0.9776429255828809,0.18067474382438398,1.85,3.42,0.3,0.24,7.51
8860145a35fffff,12.963731317117672,77.53119609815313,ward_74,0.708187397188903,0.708187397188903,0.708187397188903,0.5360454699177015,0.10146906015452753,0.009581603321622487,0.9904183966783775,0.018996264295590388,0.35,1.17,1.63,0.92,0.4
8860145955fffff,13.031005176934363,77.54494605613043,ward_99,0.5467121647150268,0.5467121647150268,0.5467121647150268,0.5618832337246938,0.04253967700102645,0.02469924411796017,0.9753007558820398,0.14291477678383407,0.66,2.85,2.27,0.33,6.42
8860145931fffff,13.060966081822217,77.52860089793661,ward_176,0.5308154387947894,0.5308154387947894,0.5308154387947894,0.9120063371110102,0.8665550871068216,0.02805280528052805,0.971947194719472,0.29530614669878547,2.02,2.33,4.15,0.75,12.6
886016964dfffff,13.083208889612797,77.60058643406451,ward_198,0.128541232718235,0.128541232718235,0.128541232718235,0.9923884389520156,0.9864473865037707,0.02970297029702971,0.9702970297029703,0.26345179342611874,1.51,1.08,2.6,0.53,10.83
8861892eb9fffff,13.000845765441035,77.62026786302567,ward_61,0.3164644534741632,0.3164644534741632,0.3164644534741632,0.7942278957245168,0.036702235105816994,0.026296178004897273,0.9737038219951027,0.11249174029829512,0.12,4.97,0.92,0.42,1.33
8860145a11fffff,12.933842101009484,77.52228192831956,ward_124,0.48914747856067686,0.48914747856067686,0.48914747856067686,0.8235122426525086,0.12330718190797284,0.02555094219099329,0.9744490578090067,0.1309304030358692,0.72,2.06,2.9,0.23,5.91
8860145969fffff,13.045891105478589,77.57046538285836,ward_102,0.10235425223043502,0.10235425223043502,0.10235425223043502,0.5909759992271233,0.19143656963078712,0.03241775790482274,0.9675822420951773,0.09202000906718602,1.18,1.45,3.62,0.4,4.22
8860145a2dfffff,12.96364890867272,77.55645548005772,ward_20,0.3605051100401583,0.3605051100401583,0.3605051100401583,0.6798795742822124,0.11782535068992078,0.03161929096135419,0.9683807090386458,0.08047373542598962,0.25,0.85,4.02,1.09,1.01
8861892cebfffff,13.045739580746607,77.62102712688123,ward_162,0.09607545127286128,0.09607545127286128,0.09607545127286128,0.48411997547853947,0.1511156107515255,0.03795379537953795,0.9620462046204621,0.4671082876693971,1.71,2.79,1.24,1.03,18.13
886016964bfffff,13.075763729841844,77.58781894705328,ward_180,0.15513316775836344,0.15513316775836344,0.15513316775836344,0.5112848488378566,0.00685201642170423,0.038326413286489946,0.96167358671351,0.11242845592677367,0.74,2.02,1.65,0.82,5.53
886189242dfffff,12.910951469011717,77.64402994024118,ward_166,0.7053982875047947,0.7053982875047947,0.7053982875047947,0.017502369751218935,0.03712140598730686,0.03593101245608433,0.9640689875439157,0.06810176594903296,0.91,2.22,1.02,0.32,3.55
88618925b1fffff,12.956068102101627,77.58580820442012,ward_10,0.2706530615605491,0.2706530615605491,0.2706530615605491,0.32517393442823167,0.36963912623189404,0.0415202810603641,0.9584797189396359,0.1820868562872815,0.86,2.62,0.48,0.23,7.49
8860145a49fffff,12.918735693049518,77.56412646243572,ward_96,0.08628738713846142,0.08628738713846142,0.08628738713846142,0.42360116165029055,0.6951158080057476,0.03880549345257107,0.9611945065474289,0.1314334464690328,1.08,4.13,2.14,0.49,5.94
8861892ed3fffff,12.970915006212191,77.6197618136137,ward_69,0.5227156325722576,0.5227156325722576,0.5227156325722576,0.18521573871701447,0.011621225903150954,0.046204620462046195,0.9537953795379538,0.23875346681671858,1.86,1.0,1.56,0.5,9.86
88618925d3fffff,12.918643690400922,77.5893915172571,ward_93,0.32380377402752947,0.32380377402752947,0.32380377402752947,0.5190512676181797,0.013261301437600745,0.04322367720643032,0.9567763227935697,0.03636743027259316,1.58,0.52,0.79,0.44,2.32
88618924a7fffff,12.91870529813907,77.57254735078506,ward_96,0.3452725656922988,0.3452725656922988,0.3452725656922988,0.6553881569576838,0.02717783444974093,0.04790801660811243,0.9520919833918876,0.11715734845039094,1.48,2.8,3.78,0.59,5.81
8860145859fffff,12.96378489099555,77.51436050048356,ward_115,0.09532683079422465,0.09532683079422465,0.09532683079422465,0.20183757756895104,0.04040188029131343,0.03465346534653465,0.9653465346534653,0.007187620022951487,1.83,1.6,1.78,1.63,2.48
8860169657fffff,13.08330124464746,77.56687905396377,ward_180,0.23890974665203932,0.23890974665203932,0.23890974665203932,0.8720319741928692,0.03450142016418804,0.04599169594378793,0.9540083040562121,0.08794920072433339,1.42,1.3,0.5,1.19,4.57
886189251bfffff,12.925952675128206,77.63585628174276,ward_138,0.35708347714801403,0.35708347714801403,0.35708347714801403,0.4597337350304904,0.052867355554428334,0.04918556371766209,0.9508144362823379,0.08493907701876179,1.22,2.63,1.9,0.4,4.46
886189256bfffff,12.940759456705091,77.67825953721993,ward_190,0.34788983490041453,0.34788983490041453,0.34788983490041453,0.8593798802935647,0.4203790016215981,0.0561056105610561,0.9438943894389439,0.7718061603394994,1.13,2.84,1.73,0.93,28.52
8861892c13fffff,13.038217520384142,77.63354515703287,ward_143,0.45831380337720795,0.45831380337720795,0.45831380337720795,0.955906642106533,0.20230775264745418,0.057755775577557754,0.9422442244224423,0.3032093747036111,1.4,2.05,0.69,0.71,12.05
8860145817fffff,12.993772501375723,77.48960570766803,ward_165,0.34877212870694435,0.34877212870694435,0.34877212870694435,0.13682999802832055,0.11974693884951815,0.05174065793676143,0.9482593420632386,0.04767785317656647,1.78,1.97,1.22,0.06,2.67
8860145a33fffff,12.956292854012514,77.51844520631553,ward_115,0.07925733680138719,0.07925733680138719,0.07925733680138719,0.611071140548969,0.1716365937806319,0.0472692430533376,0.9527307569466624,0.029416742034422894,1.41,1.08,1.04,0.2,2.13
8861892e97fffff,12.993405677152369,77.60750049134091,ward_41,0.7162855343928737,0.7162855343928737,0.7162855343928737,0.8038366473475955,0.2463535616081187,0.05663792185670182,0.9433620781432982,0.08164783076667065,0.56,4.2,1.78,0.6,2.29
8860145b2bfffff,13.008477175120223,77.57405098530113,ward_39,0.4615449180566237,0.4615449180566237,0.4615449180566237,0.44727948671009754,0.0006312548106780567,0.04982433727243691,0.950175662727563,0.03904027896744429,1.42,1.47,2.39,0.62,2.74
8861892e03fffff,12.993141497362052,77.68337242626878,ward_187,0.3410755622460953,0.3410755622460953,0.3410755622460953,0.7647507322149025,0.9183008060408658,0.066006600660066,0.933993399339934,0.20201963005478052,1.76,5.57,1.4,0.73,8.51
8860145ae1fffff,12.948854756685654,77.50569676560455,ward_136,0.5324211214325391,0.5324211214325391,0.5324211214325391,0.1960952597713144,0.09137170124834205,0.06765676567656766,0.9323432343234324,0.28381913802051373,0.26,1.25,1.41,0.35,11.0
8861892ec1fffff,12.978293826573747,77.64938907665191,ward_146,0.5892516912148239,0.5892516912148239,0.5892516912148239,0.9680832355676672,0.03354478815608763,0.06483551580964549,0.9351644841903545,0.16238974055796704,1.54,0.91,3.73,0.3,6.99
8860145965fffff,13.060850877784336,77.57071592245823,ward_142,0.046090260596137175,0.046090260596137175,0.046090260596137175,0.006114925701209448,0.49195209753782787,0.07095709570957093,0.9290429042904291,0.21259774637169884,1.23,1.97,2.85,0.95,9.39
8860145165fffff,12.903865019113976,77.53861979153668,ward_169,0.41953159317195365,0.41953159317195365,0.41953159317195365,0.5180430425173558,0.005746929316773662,0.06558075162354943,0.9344192483764506,0.0447406137428798,0.74,2.06,2.63,0.51,0.85
88618924a5fffff,12.918674630614579,77.58096903580915,ward_93,0.49791267722402965,0.49791267722402965,0.49791267722402965,0.8928297749990372,0.3362033958554774,0.05030341743851804,0.9496965825614819,0.03335807945170595,2.23,1.44,2.62,0.89,1.02
8861892dd3fffff,13.075667218209755,77.6215334293208,ward_191,0.7607299903973365,0.7607299903973365,0.7607299903973365,0.5614779154477304,0.40217645573647104,0.0759075907590759,0.9240924092409241,0.30812627838508566,0.76,1.0,0.18,0.29,11.61
8860145957fffff,13.031029347929861,77.53652471455983,ward_127,0.49964401495495003,0.49964401495495003,0.49964401495495003,0.4315626940088697,0.1513621808389389,0.07255402959650806,0.927445970403492,0.08866775996552825,2.2,1.98,1.82,0.55,4.92
8860145803fffff,12.993723380152147,77.50643824130718,ward_152,0.42048367786935026,0.42048367786935026,0.42048367786935026,0.464439115219939,0.4937940198368891,0.07920792079207922,0.9207920792079207,0.4693234018456273,1.28,1.74,2.28,0.35,17.92
