h3_id,it_job_density,non_it_job_density,informal_sector_jobs,industrial_units_count,commercial_units_count,night_light_intensity,ward_id
8860145acdfffff,63.24263537509863,34.86984519617925,3,2,9,4.857,
88618924e7fffff,84.06429638454178,22.977767785384042,2,2,7,4.826,
8861892415fffff,78.21211999219247,27.82471264575104,2,2,5,5.238,
886014581dfffff,67.36138002781055,47.6922409910103,3,1,7,6.259,
8860145a25fffff,87.66271502921894,19.65149630059983,2,2,7,4.722,
8860145913fffff,67.43369401729733,29.707742339281705,3,4,7,6.272,
8860145b67fffff,79.61534159511343,28.414475084132157,1,1,7,4.183,
88601459c1fffff,73.841921122477,38.076378976176784,2,4,2,4.449,
8860145b05fffff,90.41408312141888,31.580884628872145,1,1,9,4.241,
8861892ce3fffff,82.36464970423174,23.70233243625586,2,3,7,4.495,
8860145989fffff,69.66122901410219,18.529246290312127,4,1,6,4.858,
886014592dfffff,74.21379665324746,43.66940067742034,2,5,6,4.963,
88618925e7fffff,78.95618861693596,23.369369690583518,2,3,15,3.995,
8861892553fffff,77.65467136668543,32.778742990857104,2,4,6,4.337,
8861892c81fffff,72.77831567278157,20.150410620498107,3,4,6,4.764,
8861892417fffff,72.21945266477967,22.251452626569268,2,3,6,5.439,
8861892eedfffff,77.56103496674375,22.64439813227604,2,3,6,5.191,
8861892485fffff,84.50513978369382,27.841515050050653,2,5,9,4.359,
88618925d7fffff,77.10887505060592,31.449831986635964,2,1,9,4.196,
8860145807fffff,81.7137903827513,1.3061559698707228,2,6,8,5.168,
886014594bfffff,71.02103780006301,17.0178601320968,1,3,3,5.425,
8861892c9bfffff,79.31272276115814,18.846200295975287,2,4,12,3.672,
8861892eddfffff,92.19135608537778,20.57794483053654,2,1,8,4.314,
8861892c95fffff,71.82726786814669,22.988781311206036,1,2,3,4.213,
8861892ce7fffff,79.7743822515764,29.75574979024852,3,4,6,4.271,
8860169651fffff,62.865271045083276,31.814679921134076,1,2,11,5.885,
8860145aebfffff,75.44465559751389,37.91330778920356,2,3,10,4.731,
8860169619fffff,64.19684590514997,25.889378560138542,3,2,3,5.113,
8861892585fffff,87.33213625796886,19.242076978766846,1,4,6,3.693,
88618924bdfffff,77.92749808288336,22.486702380878402,2,2,5,5.096,
8861892525fffff,78.32266232925127,29.20200642617314,2,1,8,4.65,
8860145a2dfffff,78.1469884364013,8.679875642248234,2,8,6,3.904,
88618925c1fffff,83.71884120346235,25.31713021291513,2,6,3,4.323,
8861892eabfffff,84.10982336027706,10.43063626588836,2,0,5,5.618,
8860145b29fffff,93.2717162674104,27.394755640023227,1,2,5,4.186,
8860145121fffff,87.4414933122166,26.166026131769485,3,4,6,4.585,
8860145951fffff,73.26316021405832,18.198697939837274,2,0,9,3.065,
8861892481fffff,79.8450498388588,15.76143184636708,3,2,10,4.69,
88618924edfffff,74.87837336966288,26.743828824426124,1,3,9,3.644,
8861892cdbfffff,83.1770146171774,20.702618125241745,2,2,4,4.935,
8861892e9dfffff,91.87350426975763,38.54889567057198,1,2,8,4.401,
8860145931fffff,65.8841629805098,49.112423717657734,3,3,4,5.109,
8860169609fffff,64.59377766611875,45.82832761870683,3,1,10,5.124,
8860145947fffff,74.90861635028146,16.991164222392495,2,2,5,3.443,
8860145b47fffff,89.41355899970821,31.321563450485552,1,4,12,3.214,
8861892529fffff,80.15945647832987,32.85929297447145,2,4,6,4.955,
88618925abfffff,87.03721737293063,26.021875785027603,1,1,12,3.684,
88618924b9fffff,82.90723529796065,34.93548903648796,2,2,3,4.8,
886014584dfffff,73.41489467696114,19.190169242930683,1,3,7,4.599,
8860145851fffff,74.60416126040433,41.91378403333535,3,1,4,4.631,
8860145853fffff,79.65894486665385,38.863195131607426,2,4,6,5.653,
8861892ca3fffff,71.51772741922619,37.529018275556794,3,1,5,4.508,
8860145167fffff,81.60558015042766,32.52696362021356,2,1,8,4.171,
886189249dfffff,75.27909527375445,2.5259498603549453,2,2,7,5.238,
88601459e1fffff,63.23568037663903,23.59221438568038,3,2,2,7.121,
8861892ec3fffff,83.7968207538496,40.706567646769656,2,5,8,3.447,
88618925edfffff,80.05503857220188,11.221449562906395,2,6,3,4.93,
8860145959fffff,85.72850634435109,12.77518499011114,3,4,7,5.379,
88601459c3fffff,74.9078268039211,27.097712458393303,3,0,7,4.994,
8860145163fffff,74.58537299920178,18.42026637876096,2,2,7,4.931,
886016965dfffff,74.94333315426633,18.059863064224864,2,4,9,4.054,
88618924c7fffff,72.32526583027325,15.914780791782357,2,3,7,4.87,
8861892487fffff,82.1433891458705,6.608726145106225,2,2,6,4.179,
8861892c59fffff,85.89605308616972,27.611856810760887,2,2,4,4.605,
8861892c51fffff,75.18346316643236,42.50764100886472,2,3,6,4.941,
8861892ed5fffff,92.05920521600753,0.7622758309352058,2,2,7,5.215,
8860145a03fffff,83.46648555892192,28.8574497778048,2,1,9,3.722,
8860145b0dfffff,90.78375470193784,13.693351637908847,2,6,11,3.509,
8861892cb3fffff,82.5805238735187,9.98736094678122,2,2,5,4.386,
886014512bfffff,78.32858033397078,53.13874622339689,4,2,2,4.142,
8861892501fffff,80.95956536936076,35.333543706699274,3,3,8,3.97,
88618925bbfffff,85.34448759372138,30.446376304647227,1,4,5,3.928,
886014512dfffff,75.52982529712645,25.580120282542463,2,2,4,4.244,
8861892507fffff,78.59618824117604,33.33036423936343,2,7,8,5.432,
8860145b07fffff,76.44022307312567,6.959823633358923,1,0,7,3.87,
8861892531fffff,81.16589254923937,29.83729488688547,2,2,7,4.988,
8861892435fffff,86.54419895666382,46.742600211280816,2,5,6,4.013,
8861892ce1fffff,77.5334792500884,15.866983911801103,3,2,3,4.525,
88618925bdfffff,82.18073244727395,28.21144968515368,2,4,6,3.716,
886014590dfffff,78.31273520191118,41.69326605020645,2,5,5,3.7,
8861892cd3fffff,78.81636885648985,24.80016531226159,2,4,9,3.813,
8861892581fffff,83.41559556644542,2.582029330046794,2,5,6,4.229,
8861892ca1fffff,71.99183887491249,27.22332471605079,2,1,5,3.591,
8861892461fffff,78.43909300508632,36.690897034699496,2,0,4,4.426,
8860145b19fffff,75.92365707594877,18.636692595905306,1,6,9,4.396,
8860145a3bfffff,80.1419028085421,9.132150852676617,2,3,8,3.994,
8861892413fffff,70.35661825183686,27.5956373633671,3,1,2,4.36,
8861892e1bfffff,79.75060376463536,28.743513861460602,2,3,6,4.993,
886189259bfffff,85.15084058312948,3.3298836071845344,1,3,9,5.37,
8861892e37fffff,73.55338137373518,27.0847543233784,3,0,4,4.164,
88618925a7fffff,92.89959729892631,21.02286286436229,1,3,9,4.604,
8860145a45fffff,84.5593341898863,23.82550693597505,2,0,6,4.692,
8861892407fffff,78.88008070498847,28.587589018685218,2,4,5,4.889,
8861892e53fffff,85.71762113344354,40.78659067103882,2,1,2,4.989,
88618925a3fffff,80.35653115152387,17.199964230777983,2,3,7,3.9,
8860145857fffff,72.88602281223359,23.130650715865976,2,3,1,4.021,
8860145837fffff,69.35917344936789,30.385566878518073,3,2,6,4.698,
8860145137fffff,67.55369786369256,26.47064379376763,3,2,4,5.709,
8860145b21fffff,78.84726969362032,22.125815691980755,2,1,6,3.386,
8860145a29fffff,85.90362452483123,26.93324525301743,2,4,5,4.375,
886189253dfffff,74.47988321418134,35.572420175549034,1,4,7,3.714,
8861892439fffff,80.68342427210982,23.65167731300206,2,1,11,5.512,
8860145ac5fffff,73.48739190274968,23.35431402898544,3,2,3,4.56,
8860145aedfffff,77.87311798097168,0.0,2,1,6,3.764,
886014596bfffff,71.0749814850366,41.137588925618246,2,4,4,4.216,
8860145a39fffff,80.31132971673296,20.929391510869852,2,2,7,4.082,
8861892ec1fffff,75.81167237342436,29.255063816032354,1,5,8,5.247,
886016960dfffff,65.67657305210491,41.46592904699624,4,3,7,5.693,
8860145169fffff,80.53605408830047,51.547339288725,1,2,8,4.342,
8861892509fffff,75.59266844295287,30.04249137869546,2,1,9,3.69,
88618925d9fffff,77.48605744874783,23.77067857660521,1,5,7,4.634,
8860145b15fffff,77.56873385465909,15.34736662060613,1,2,3,3.754,
886189255bfffff,70.67202416646155,25.88598871772616,2,4,6,4.639,
8861892491fffff,80.0269996987421,27.083124595444588,1,3,2,3.883,
8861892e03fffff,80.82340511287556,0.53248150215828,2,3,5,3.952,
8860145a1bfffff,87.73426403100204,10.709817989397557,3,2,4,4.056,
8860169653fffff,75.81270612461306,29.028053881157096,3,3,5,3.617,
8860145129fffff,75.06318404782118,25.487739607280364,3,2,6,3.989,
8860145a13fffff,68.2736656819084,24.754933209775086,2,1,8,4.809,
8861892519fffff,79.8244808110176,38.248614275257935,3,5,4,4.44,
8861892c5dfffff,70.70301495293621,25.50914817294124,2,3,6,4.772,
8861892edbfffff,88.98758697069073,38.54030461984701,1,1,6,4.329,
8860145aadfffff,72.69430851545143,13.69166157189531,2,2,4,4.865,
8860145b3bfffff,79.89781454810365,9.819918740892126,3,1,8,4.358,
8860145165fffff,80.31385229644395,30.079060436872723,3,4,3,4.786,
8861892545fffff,73.79854142111753,26.89013844673987,4,2,6,3.863,
8861892c2bfffff,61.702547112225716,45.676133796542906,4,0,6,4.739,
88618925ddfffff,77.60439316059512,0.5915644741559909,2,1,5,5.035,
88618924adfffff,88.42963085520957,22.48619148429823,2,9,6,4.55,
8860145a07fffff,85.47407483733367,19.400359633190533,3,2,8,4.968,
88618924c5fffff,86.45282472702894,11.19879741820889,2,3,5,5.156,
8860169655fffff,75.21503112777808,46.907396348123875,3,1,9,5.044,
88601459d7fffff,59.607879325086834,39.32899863096186,4,3,7,5.481,
8861892e05fffff,68.3183132998249,22.366081151404188,3,4,5,5.106,
8860145a4dfffff,81.72958742386461,20.769523911842526,2,2,9,3.007,
8861892ec5fffff,86.340546968527,45.07141953155178,2,3,6,4.503,
8860169601fffff,66.38469762342811,29.445436410077505,2,2,2,6.135,
8860145b65fffff,87.3520130753894,8.460186493038833,1,0,7,4.423,
8860145aa1fffff,80.38237889584468,35.32418351107918,3,3,7,3.771,
8861892c9dfffff,89.0026707082924,17.65651923853863,2,4,7,4.406,
8861892e1dfffff,78.82798415287367,19.178244153693093,2,4,4,3.999,
8860145b6bfffff,85.83186886755412,24.303727365373362,1,1,5,4.573,
8861892c83fffff,79.33993605120553,17.00647852203938,2,1,8,4.962,
8861892cb7fffff,68.19500012167944,9.422694878463279,3,2,9,4.24,
8860145905fffff,77.01824379999138,36.094527115650166,2,2,2,5.004,
8860145a15fffff,85.46071389845821,13.742813282143224,2,3,11,4.873,
8860145855fffff,75.78498908476831,33.451011128081014,2,2,6,4.337,
8860145a5dfffff,79.96540701395406,31.165955352015526,1,1,7,4.294,
88618924c1fffff,72.80177974505747,28.354574358168627,3,0,6,4.476,
8860145829fffff,78.23995725475163,24.96900513484539,2,3,3,4.448,
8861892e87fffff,90.6202412029576,30.634619125404747,3,5,8,4.962,
8861892521fffff,80.47417105703582,7.133872737166676,3,2,4,4.567,
8861892419fffff,76.51742579964493,32.72977963497322,2,3,6,4.066,
8861892e13fffff,75.20273096966604,22.24853658504311,3,5,6,4.55,
88618925d5fffff,85.88857006201283,14.779735517798851,2,4,9,4.724,
8861892ce9fffff,82.14907525253578,28.981647323295793,2,3,2,2.996,
8861892511fffff,79.0502873938734,48.116993699834005,2,3,7,4.578,
886189259dfffff,90.42397839777844,21.998808878883718,2,0,5,4.518,
8860145b25fffff,88.58528974762223,32.670753946806684,3,1,7,4.868,
8860145b55fffff,86.97923407192904,13.290673663842403,1,2,11,5.392,
88618925adfffff,89.02935044468254,19.62689534667816,1,1,3,3.284,
8861892e93fffff,82.76351817107036,22.124839785520983,2,4,8,3.67,
8861892e31fffff,79.5781203224287,23.712116471680055,3,4,8,4.262,
88601696cbfffff,69.88388000072435,13.436532652991957,2,3,2,5.603,
8861892565fffff,68.96442609209237,22.64274450816988,3,2,6,3.4,
8860145b59fffff,87.42087687689734,2.0499935281208437,1,1,11,4.575,
8860145811fffff,82.03196067264328,26.360775030924167,3,4,7,4.777,
8860145903fffff,78.13116776662217,31.653395722762347,3,2,6,4.753,
88618925c9fffff,84.1181390831076,24.452802224251087,2,0,6,5.398,
8860145915fffff,59.561405723364935,38.953748324986776,2,1,9,3.764,
88618925e3fffff,90.4777662796176,31.5370929448638,1,3,4,4.795,
8861892cc3fffff,75.2033180539082,13.65283576580542,2,2,3,4.114,
8860145a31fffff,76.61106040088916,19.999440868002473,3,3,9,4.032,
8860145a23fffff,87.10034653028589,13.205823897593444,2,3,5,4.496,
88618924e1fffff,86.91957578032142,44.57295538107784,2,5,6,5.191,
8861892463fffff,76.25899232138505,37.58545269317438,3,3,4,4.295,
8861892ebdfffff,82.12820316666031,9.185569405598622,2,0,6,4.098,
886016964dfffff,68.1837356539452,18.408023693293426,2,1,7,4.801,
8860145813fffff,70.14072412514864,21.523487871387054,2,2,5,4.303,
8860145b13fffff,87.88740793117617,22.748866844365203,1,2,4,4.719,
88618925e5fffff,86.68917479963234,26.95461253760935,1,2,5,3.985,
8861892535fffff,83.51060673446823,36.71620285370678,2,2,3,5.012,
886014516bfffff,74.52616690057064,28.503347032940777,3,3,9,5.093,
8860145939fffff,67.5334879780594,40.07080657474103,2,4,3,4.022,
88618924a7fffff,82.51092419266762,33.88557837255543,2,4,10,4.628,
8860145831fffff,72.88058581736337,18.820452192147584,3,5,5,4.761,
8861892505fffff,82.35629426070452,10.481159391641679,3,3,4,4.602,
8860145ac1fffff,72.32474027306823,40.7166001731472,3,3,7,5.848,
88618924abfffff,86.71448792966478,26.790733657729525,3,3,6,4.788,
8860145a19fffff,82.03644173477983,16.20539307088676,2,3,7,4.703,
8861892561fffff,79.69883400076216,30.122184687991115,2,3,6,4.421,
8861892cc7fffff,73.2533949511553,11.30358039543973,3,5,9,3.224,
8861892eadfffff,80.57776519347158,20.5196479553128,2,3,3,5.309,
8861892ed1fffff,91.75001958099243,37.35648997738146,2,9,9,3.623,
8860145953fffff,81.87534173463445,16.004152992299318,3,5,8,3.09,
8861892513fffff,84.97277234729953,17.650467899190772,1,4,4,4.355,
8860145a1dfffff,79.56970415380589,14.542199673118505,1,4,6,4.953,
886016965bfffff,74.34655740879454,29.071916895817328,1,4,4,5.062,
8861892ca7fffff,73.22663991415811,15.848927956708767,2,2,6,4.98,
8861892c37fffff,77.31420465721368,38.94073379404863,3,3,1,5.993,
8860145b01fffff,94.42310629063327,22.7669163280306,2,4,6,4.149,
88618925b9fffff,89.89963536963162,26.339633963345456,1,2,5,3.753,
8861892423fffff,85.41897434318423,29.087685879114986,2,2,6,4.989,
8860145a53fffff,74.86732364693586,31.206552022835275,2,4,10,3.323,
