_id,Sl. No,Zone,District,Taluk,Name of Sub-Station,Voltage Class (in kV),Date of commission,geometry,transformer_id,name,substation_id,phase,capacity_MVA,current_load_MVA,industrial_consumption_kwh,residential_consumption_kwh,commercial_consumption_kwh,load_shedding_events,ev_charging_load_estimate,solar_potential_kw,ward_id,h3_index,lon,lat
1,1,Bengaluru,Bangalore Urban,Bangalore East,Hoody,400,31-03-1995,POINT (77.56236203565422 13.085214291922975),trf_1,Hoody,,3.0,0.145,0.031,305.0,1205.0,273.0,0.0,180.83,696.51,ward_1,8860169619fffff,77.56236203565422,13.085214291922975
2,2,Bengaluru,Bangalore Rural,Nelamangala,Nelamangala,400,31-03-2002,POINT (77.66959818254342 12.97959754525911),trf_2,Nelamangala,,3.0,0.403,0.269,2085.0,4653.0,284.0,1.0,51.65,918.27,ward_2,8861892e1bfffff,77.66959818254342,12.97959754525911
3,3,Bengaluru,Bangalore Urban,Bangalore North,AnandRao Circle,220,28-05-2010,POINT (77.49680559213273 12.84679835610086),trf_3,AnandRao Circle,,3.0,0.335,0.226,483.0,1234.0,207.0,0.0,30.38,277.65,ward_3,8860145063fffff,77.49680559213273,12.84679835610086
4,4,Bengaluru,Ramanagar,Ramanagara,Bidadi,220,29-10-1998,POINT (77.46742508365047 13.05985284373248),trf_4,Bidadi,,3.0,4.111,3.587,11691.0,37032.0,3400.0,0.0,8.17,337.87,ward_4,88601459b1fffff,77.46742508365047,13.05985284373248
5,5,Bengaluru,CB Pura,Chintamani,Chintamani,220,18-12-2002,POINT (77.63033450352296 13.012421773338813),trf_5,Chintamani,,3.0,1.798,0.522,4971.0,8733.0,3144.0,0.0,138.08,78.62,ward_5,8861892ea3fffff,77.63033450352296,13.012421773338813
6,6,Bengaluru,Bangalore Rural,DB pura,D B Pura,220,12-10-1998,POINT (77.45617534828874 13.090972955648597),trf_6,D B Pura,,3.0,0.091,0.078,503.0,323.0,121.0,1.0,36.9,418.7,ward_6,8860144b0bfffff,77.45617534828874,13.090972955648597
7,7,Bengaluru,Bangalore Rural,Nelamangala,Dabaspet (Nelamangala),220,31-03-2009,POINT (77.69973279224013 12.863701733203483),trf_7,Dabaspet (Nelamangala),,3.0,0.622,0.296,1726.0,6050.0,110.0,0.0,142.67,1790.41,ward_7,886189274bfffff,77.69973279224013,12.863701733203483
8,8,Bengaluru,Bangalore Rural,Devanahalli,"Devanahalli  (BangaloreIA)",220,25-11-2006,POINT (77.50454749016214 12.855021352956031),trf_8,"Devanahalli  (BangaloreIA)",,3.0,0.116,0.062,371.0,601.0,150.0,0.0,4.01,644.16,ward_8,886014515bfffff,77.50454749016214,12.855021352956031
9,9,Bengaluru,Bangalore Urban,Bangalore East,East DivisionCompound,220,20-12-2010,POINT (77.54127267288786 12.957426929489671),trf_9,East DivisionCompound,,3.0,0.129,0.112,459.0,1175.0,489.0,0.0,17.38,1074.21,ward_9,8860145a2bfffff,77.54127267288786,12.957426929489671
10,10,Bengaluru,Bangalore Urban,Bangalore East,"EPIP, White field (GIS)",220,10-01-2014,POINT (77.57958350559264 12.887368742059413),trf_10,"EPIP, White field (GIS)",,3.0,0.437,0.129,744.0,2739.0,1355.0,0.0,71.22,1973.03,ward_10,886189248dfffff,77.57958350559264,12.887368742059413
11,11,Bengaluru,CB Pura,Gowribidanur,Gowribidanur,220,27-03-1987,POINT (77.63355586841672 12.841848158195614),trf_11,Gowribidanur,,3.0,0.111,0.035,164.0,494.0,99.0,0.0,34.67,1793.53,ward_11,88618926edfffff,77.63355586841672,12.841848158195614
12,12,Bengaluru,Bangalore Urban,Bangalore East,HAL,220,31-08-2008,POINT (77.53764339456056 12.909908552988108),trf_12,HAL,,1.0,0.416,0.39,280.0,2738.0,1936.0,2.0,34.18,1337.29,ward_12,8860145a5bfffff,77.53764339456056,12.909908552988108
13,13,Bengaluru,Bangalore Urban,Bangalore North,Hebbal,220,02-07-1994,POINT (77.58682099526511 13.035552788417904),trf_13,Hebbal,,3.0,0.576,0.236,2659.0,2698.0,895.0,0.0,101.52,484.82,ward_13,8861892c99fffff,77.58682099526511,13.035552788417904
14,14,Bengaluru,Bangalore Urban,Bangalore East,Hoody,220,15-01-1979,POINT (77.5099021346475 12.954270331524084),trf_14,Hoody,,1.0,0.296,0.188,274.0,2170.0,757.0,0.0,67.32,268.83,ward_14,8860145ae5fffff,77.5099021346475,12.954270331524084
15,15,Bengaluru,Bangalore Rural,Hosakote,Hosakote,220,04-04-2009,POINT (77.62772437065861 12.813935123816),trf_15,Hosakote,,1.0,0.329,0.266,503.0,3005.0,1201.0,0.0,94.32,823.68,ward_15,886014c927fffff,77.62772437065861,12.813935123816
16,16,Bengaluru,Bangalore Urban,Bangalore South,HSR  Layout,220,26-01-1998,POINT (77.63226345557044 12.851157237106188),trf_16,HSR  Layout,,3.0,0.832,0.769,620.0,7969.0,3747.0,0.0,13.3,1482.24,ward_16,8861892633fffff,77.63226345557044,12.851157237106188
