h3_id,elevation_m,slope,flow_accumulation,flood_risk_index,centroid_x,centroid_y,ward_id
8860145a21fffff,868.216,3.37,7.912,0.761,1443109.882698151,14131074.584306464,
8860145b07fffff,901.07,1.853,0.064,0.206,1447265.8016945948,14142276.498696266,
8860145b05fffff,909.582,2.725,0.064,0.116,1447262.8326281712,14146634.335986031,
88618925bdfffff,889.525,1.96,0.064,0.317,1442259.6386242143,14154968.683352929,
8861892e9dfffff,905.748,0.934,0.064,0.178,1445581.6082018341,14168342.06679904,
8860145a69fffff,861.357,2.723,7.437,0.83,1440603.7852058723,14141758.527649673,
8860145b3dfffff,910.035,1.425,0.064,0.126,1448099.9689375567,14140163.510797957,
8860145b47fffff,886.5,1.489,1.936,0.533,1445594.2237544046,14150865.358350206,
8860145b4dfffff,883.731,1.734,4.629,0.605,1444756.6740993585,14157347.57406781,
8860145a2bfffff,900.361,3.37,0.064,0.201,1442278.7678765268,14128837.158208635,
88618925adfffff,898.471,2.261,0.064,0.227,1443084.3242786129,14165957.743082909,
8860145b65fffff,905.767,1.588,0.064,0.165,1448088.1267794506,14157608.78312748,
88618925b5fffff,901.452,2.09,0.064,0.2,1443094.137005565,14152851.619812874,
88618925e5fffff,885.749,1.296,0.064,0.364,1442246.2771337659,14172456.24574753,
8860145b5bfffff,884.712,1.443,0.352,0.431,1443103.6756985174,14139775.451068107,
8860145b45fffff,900.095,1.734,0.064,0.217,1445591.1156165113,14155229.533788946,
8860145b2bfffff,897.032,1.997,4.744,0.474,1448097.0541798153,14144519.843748067,
88618925a5fffff,888.312,1.668,0.352,0.393,1443918.9302961372,14163836.826271249,
8861892ed3fffff,895.035,1.451,0.064,0.271,1443915.6526771758,14168210.697063109,
886189258dfffff,888.229,1.052,0.064,0.345,1440587.0735545682,14163574.759379406,
88618925ebfffff,885.794,0.753,0.064,0.377,1440583.639976666,14167948.004908402,
88618925d5fffff,884.535,1.292,0.064,0.375,1438924.5759839665,14159074.155416233,
8861892e93fffff,898.876,1.587,0.064,0.231,1445587.9769840662,14159597.04054225,
8861892589fffff,878.19,1.604,0.179,0.459,1439755.813239899,14161323.960318178,
8860145a29fffff,891.296,2.446,0.064,0.295,1442275.6556867473,14133184.129255144,
8860145a65fffff,883.905,1.736,0.064,0.374,1442269.3401096798,14141887.9971497,
8860145b67fffff,912.328,2.258,0.064,0.093,1448091.1331092112,14153242.475232305,
88618925e7fffff,893.543,1.557,0.064,0.284,1442249.6631933204,14168079.34310052,
88618925a7fffff,890.378,1.329,0.064,0.318,1443922.1774318174,14159466.295736488,
8860145849fffff,886.009,1.008,0.352,0.427,1443947.058128376,14124621.737838771,
88618925a3fffff,902.268,2.677,0.064,0.187,1443090.896556007,14157216.993035492,
8860145a2dfffff,885.093,1.85,0.064,0.361,1443106.7944056254,14135423.362885574,
8860145a41fffff,893.533,3.27,0.064,0.268,1438941.526121188,14137276.103473827,
8860145b61fffff,892.304,2.122,5.766,0.526,1447256.8029696136,14155359.98247065,
8860145b03fffff,894.839,1.635,0.352,0.33,1446434.5720491013,14140034.142064624,
8860145b5dfffff,894.362,2.392,0.064,0.266,1443931.7360232354,14146374.698643284,
88618925b3fffff,899.747,3.276,0.064,0.208,1442266.1367055778,14146244.903302146,
88618925c3fffff,872.74,1.292,4.629,0.718,1438921.0948182694,14163443.749519836,
8860145a25fffff,892.889,2.587,0.064,0.279,1443941.020567882,14133312.9949718,
8860145b11fffff,885.926,1.913,7.106,0.598,1445606.3515289929,14133441.87610969,
8861892eddfffff,895.028,0.379,0.064,0.303,1443909.0059558144,14176968.478301423,
8861892eb7fffff,907.313,0.389,0.064,0.183,1448916.4601854316,14164230.044583568,
88618925b9fffff,870.824,1.96,0.179,0.526,1441428.4036781394,14152721.365911078,
8861892ed1fffff,893.364,1.644,0.755,0.395,1443912.3445665345,14172587.912830368,
8860145b69fffff,893.062,1.737,0.352,0.346,1446422.4175825971,14157478.17076419,
8860145a23fffff,878.485,2.319,0.352,0.481,1443112.9405845134,14126729.110688027,
8861892595fffff,885.25,3.203,0.064,0.349,1440597.1917594718,14150475.039933125,
8860145b6dfffff,894.093,1.952,1.331,0.426,1447253.7423605996,14159727.801035589,
8860145a6dfffff,879.009,2.174,0.064,0.417,1441434.9494246787,14144001.22115515,
8861892e83fffff,896.836,2.124,4.744,0.474,1446412.9813777565,14170596.181843573,
8860145a67fffff,880.602,1.443,0.064,0.411,1442272.5131006013,14137534.407353088,
8861892587fffff,878.618,1.559,0.352,0.488,1441425.0851788477,14157086.4276644,
8860145a6bfffff,873.496,2.212,0.064,0.47,1440607.0363471708,14137405.2476838,
8861892eb9fffff,916.884,2.124,0.064,0.05,1447247.529540926,14168473.452311188,
886189259bfffff,864.762,2.408,0.064,0.553,1438934.837171071,14145985.359266246,
8860145b19fffff,889.114,0.396,0.064,0.359,1444772.1814440645,14135552.39097337,
8861892597fffff,882.758,2.345,0.064,0.379,1440600.5036794348,14146115.123510737,
8861892eb1fffff,908.092,0.931,0.064,0.155,1448082.0224887894,14166351.406701744,
8861892e8bfffff,902.244,0.696,0.064,0.219,1445578.3780352145,14172719.595730992,
8860145b01fffff,883.586,2.725,1.014,0.501,1446431.579172175,14144390.164800411,
88618925c7fffff,881.469,0.915,0.064,0.414,1439752.3558767757,14165695.379423736,
8860145b4bfffff,881.729,2.09,4.744,0.621,1443928.5802869566,14150735.23661561,
88618925d7fffff,876.092,2.232,0.064,0.445,1438928.026759087,14154707.895467877,
8860145b1bfffff,887.465,0.894,0.064,0.356,1444775.1915514849,14131203.303187225,
8860145b0dfffff,890.076,2.067,0.352,0.371,1446428.555807739,14148749.507377582,
8860145b29fffff,909.348,1.349,0.064,0.134,1448094.1089065175,14148879.497001007,
8861892edbfffff,884.482,1.532,5.925,0.61,1443080.9924339813,14170333.129323095,
8860145a47fffff,866.681,2.845,3.405,0.745,1439775.9191267143,14135165.353032164,
8860145b39fffff,905.071,1.084,0.064,0.181,1447268.7402637098,14137921.979144817,
8860145b2dfffff,907.854,1.87,0.064,0.14,1448925.4079655018,14151125.648620257,
8861892eb3fffff,903.597,0.996,0.294,0.247,1448085.0899087905,14161978.425382089,
8861892ed7fffff,908.885,1.644,0.064,0.133,1444747.003943288,14170464.64768484,
8860145b3bfffff,895.707,1.026,0.784,0.387,1447271.6483439633,14133570.772671605,
8860145a63fffff,894.369,2.337,0.064,0.266,1441441.3735577855,14135294.350239433,
8860145a4dfffff,863.688,3.27,2.872,0.762,1438938.1968246754,14141629.073652713,
8860145a0dfffff,872.075,2.337,0.467,0.56,1440610.257111726,14133055.27895693,
88618925b7fffff,885.841,1.71,0.064,0.356,1443097.3470068981,14148489.574864157,
88618925a1fffff,877.831,2.677,7.264,0.67,1443087.6256498229,14161585.699224617,
8860145b1dfffff,889.929,1.51,0.064,0.319,1445603.3652850299,14137792.7730808,
8860145b55fffff,896.641,1.826,0.064,0.25,1444766.0698929809,14144260.501387583,
8860145a27fffff,892.091,2.53,0.064,0.287,1443944.0545561062,14128965.714969326,
88618925e1fffff,881.449,1.281,0.179,0.433,1441414.9470762336,14170201.62675548,
8860145b43fffff,889.979,0.874,0.064,0.332,1444762.9684324628,14148619.533332909,
8860145b59fffff,871.542,2.989,6.328,0.724,1443100.5265684128,14144130.853506768,
8861892e99fffff,904.232,1.668,0.064,0.178,1444750.2578273828,14166088.948535647,
8860145b57fffff,891.578,1.276,0.064,0.307,1444769.1408940393,14139904.78882227,
8860145b31fffff,900.754,1.017,0.352,0.284,1448102.853188195,14135810.493485134,
8861892e91fffff,898.62,1.091,0.064,0.243,1445584.8078486465,14163967.88330922,
88618925bbfffff,868.827,3.276,4.629,0.736,1441431.6917572848,14148359.631968522,
8860145b13fffff,886.725,0.933,0.064,0.362,1445609.307320559,14129094.287107684,
8860145b53fffff,891.385,0.707,0.064,0.324,1443937.9561552787,14137663.582484493,
8860145a05fffff,877.163,2.459,0.064,0.432,1441444.5400403,14130945.880823744,
8861892ed9fffff,898.12,1.493,0.064,0.24,1443077.630107537,14174711.862668043,
8860145a45fffff,887.335,2.723,0.064,0.331,1439772.644090823,14139516.822013127,
88618925abfffff,882.128,2.134,0.064,0.387,1442256.3439301567,14159335.566615464,
8860145b09fffff,890.993,1.269,0.064,0.313,1445597.3014061686,14146504.509536969,
8860145a61fffff,874.902,2.133,0.179,0.485,1441438.1766887119,14139646.128799332,
8861892593fffff,872.516,1.667,0.064,0.486,1439769.3386880106,14143871.60432991,
8861892585fffff,882.71,1.113,0.064,0.397,1441421.7362510222,14161454.821920112,
8861892e95fffff,905.618,1.18,0.064,0.173,1446416.157306222,14166220.169740977,
8860145b15fffff,904.178,1.913,0.064,0.176,1446437.5344469596,14135681.434505627,
8861892ebbfffff,911.917,1.952,0.064,0.1,1447250.6512205144,14164098.956079043,
88618925b1fffff,883.134,1.92,0.064,0.38,1442262.902879889,14150605.130477523,
8861892ed5fffff,898.609,1.125,0.064,0.242,1444743.7195492473,14174843.694405962,
8861892e97fffff,908.919,1.737,0.064,0.132,1446419.3027050276,14161847.500952756,
886189258bfffff,876.155,2.315,0.064,0.443,1439759.2401942115,14156955.877951683,
8861892cd9fffff,907.342,1.814,0.064,0.146,1448919.4733351395,14159858.577219356,
8860145b17fffff,895.207,0.984,0.438,0.352,1446440.4663741915,14131332.037468806,
886014584dfffff,895.623,1.008,0.064,0.274,1444778.1712247347,14126857.520820096,
8861892581fffff,893.331,2.49,0.064,0.275,1440590.47670542,14159204.85317633,
8860145b41fffff,897.625,1.666,0.064,0.242,1444759.8365040617,14152981.889331793,
8860145b35fffff,905.65,0.513,0.064,0.193,1448934.0808652008,14138051.200679347,
88618925a9fffff,885.36,1.374,0.064,0.366,1442253.0187893233,14163705.78496226,
8860145b49fffff,885.274,1.801,0.064,0.36,1443925.3940926215,14155099.100750651,
8860145b63fffff,905.78,1.646,0.064,0.164,1447259.8330559905,14150995.495684145,
8860145b23fffff,906.713,1.026,0.064,0.166,1448931.2204268044,14142406.030236645,
8861892599fffff,866.938,2.203,0.064,0.534,1438931.447151999,14150344.96497959,
8861892583fffff,870.597,2.49,0.467,0.573,1440593.8494375932,14154838.281592952,
8861892591fffff,887.735,3.584,0.064,0.323,1439766.0029098918,14148229.70464318,
8860145b21fffff,916.081,1.997,0.064,0.059,1448928.3294630588,14146764.177993275,
8860145b0bfffff,879.408,1.826,9.77,0.671,1445600.3485802333,14142146.982670188,
88618925e3fffff,878.687,1.557,4.629,0.656,1441418.3568862784,14165826.553379886,
8861892cdbfffff,890.781,2.258,4.744,0.532,1448922.455925681,14155490.446798613,
8860145b51fffff,894.858,2.471,0.064,0.26,1443934.8613098694,14142017.482155606,
886189259dfffff,855.02,3.584,8.733,0.891,1439762.6367480839,14152591.127623564,
8860145b6bfffff,894.705,1.174,0.064,0.279,1446425.501947358,14153112.17447066,
8861892e9bfffff,896.272,1.374,0.179,0.288,1444753.4812099359,14161716.592234548,
