h3_id,elevation_m,slope,flow_accumulation,flood_risk_index,centroid_x,centroid_y,ward_id
8860145a21fffff,890.366,1.81,0.064,0.373,1443109.882698151,14131074.584306464,
8860145b07fffff,878.987,2.497,0.928,0.586,1447265.8016945948,14142276.498696266,
8860145b05fffff,896.216,1.888,0.064,0.324,1447262.8326281712,14146634.335986031,
88618925bdfffff,872.925,2.952,1.936,0.686,1442259.6386242143,14154968.683352929,
8861892e9dfffff,908.896,2.513,0.064,0.213,1445581.6082018341,14168342.06679904,
8860145a69fffff,880.944,1.488,0.064,0.455,1440603.7852058723,14141758.527649673,
8860145b3dfffff,897.189,2.485,0.064,0.31,1448099.9689375567,14140163.510797957,
8860145b47fffff,877.906,2.333,2.181,0.657,1445594.2237544046,14150865.358350206,
8860145b4dfffff,897.65,3.991,0.064,0.297,1444756.6740993585,14157347.57406781,
8860145a2bfffff,877.447,1.354,1.0,0.618,1442278.7678765268,14128837.158208635,
88618925adfffff,893.507,2.217,0.064,0.342,1443084.3242786129,14165957.743082909,
8860145b65fffff,907.718,2.587,0.064,0.222,1448088.1267794506,14157608.78312748,
88618925b5fffff,878.556,2.469,0.064,0.463,1443094.137005565,14152851.619812874,
88618925e5fffff,889.531,1.45,0.064,0.385,1442246.2771337659,14172456.24574753,
8860145b5bfffff,881.088,1.694,0.064,0.451,1443103.6756985174,14139775.451068107,
8860145b45fffff,884.224,1.941,0.064,0.422,1445591.1156165113,14155229.533788946,
8860145b2bfffff,902.812,2.497,0.064,0.263,1448097.0541798153,14144519.843748067,
88618925a5fffff,900.265,1.975,0.064,0.289,1443918.9302961372,14163836.826271249,
8861892ed3fffff,903.953,1.769,0.064,0.261,1443915.6526771758,14168210.697063109,
886189258dfffff,887.046,0.791,0.064,0.42,1440587.0735545682,14163574.759379406,
88618925ebfffff,887.379,1.225,0.064,0.407,1440583.639976666,14167948.004908402,
88618925d5fffff,880.509,1.476,0.064,0.459,1438924.5759839665,14159074.155416233,
8861892e93fffff,901.941,2.211,0.064,0.273,1445587.9769840662,14159597.04054225,
8861892589fffff,894.595,1.599,0.064,0.341,1439755.813239899,14161323.960318178,
8860145a29fffff,886.543,2.369,0.064,0.398,1442275.6556867473,14133184.129255144,
8860145a65fffff,874.333,1.503,0.064,0.509,1442269.3401096798,14141887.9971497,
8860145b67fffff,904.35,2.622,0.352,0.31,1448091.1331092112,14153242.475232305,
88618925e7fffff,891.058,2.048,0.064,0.364,1442249.6631933204,14168079.34310052,
