h3_id,elevation_m,slope,flow_accumulation,flood_risk_index,centroid_x,centroid_y,ward_id
8860145a21fffff,877.279,1.36,0.064,0.405,1443109.882698151,14131074.584306464,
8860145b07fffff,863.559,4.255,9.856,0.747,1447265.8016945948,14142276.498696266,
8860145b05fffff,877.269,2.771,0.064,0.39,1447262.8326281712,14146634.335986031,
88618925bdfffff,873.105,3.942,1.95,0.597,1442259.6386242143,14154968.683352929,
8861892e9dfffff,886.459,1.258,0.064,0.333,1445581.6082018341,14168342.06679904,
8860145a69fffff,873.499,1.868,0.064,0.428,1440603.7852058723,14141758.527649673,
8860145b3dfffff,877.859,2.41,0.64,0.487,1448099.9689375567,14140163.510797957,
8860145b47fffff,867.708,2.464,0.928,0.595,1445594.2237544046,14150865.358350206,
8860145b4dfffff,876.116,3.224,0.352,0.456,1444756.6740993585,14157347.57406781,
8860145a2bfffff,878.843,1.912,0.064,0.385,1442278.7678765268,14128837.158208635,
88618925adfffff,885.944,0.795,0.064,0.349,1443084.3242786129,14165957.743082909,
8860145b65fffff,908.886,3.858,0.064,0.128,1448088.1267794506,14157608.78312748,
88618925b5fffff,884.797,1.337,0.064,0.345,1443094.137005565,14152851.619812874,
88618925e5fffff,889.551,2.521,0.064,0.292,1442246.2771337659,14172456.24574753,
8860145b5bfffff,867.581,1.715,2.022,0.661,1443103.6756985174,14139775.451068107,
8860145b45fffff,845.686,4.075,12.966,0.898,1445591.1156165113,14155229.533788946,
8860145b2bfffff,893.022,3.088,0.064,0.26,1448097.0541798153,14144519.843748067,
88618925a5fffff,881.651,0.459,0.352,0.456,1443918.9302961372,14163836.826271249,
8861892ed3fffff,881.665,1.725,0.064,0.364,1443915.6526771758,14168210.697063109,
886189258dfffff,882.616,2.208,0.064,0.351,1440587.0735545682,14163574.759379406,
88618925ebfffff,867.2,1.688,8.71,0.733,1440583.639976666,14167948.004908402,
88618925d5fffff,880.098,0.567,0.064,0.404,1438924.5759839665,14159074.155416233,
8861892e93fffff,879.645,3.72,0.352,0.425,1445587.9769840662,14159597.04054225,
8861892589fffff,877.582,0.864,0.179,0.442,1439755.813239899,14161323.960318178,
8860145a29fffff,864.443,1.578,0.179,0.533,1442275.6556867473,14133184.129255144,
8860145a65fffff,873.409,1.993,0.064,0.428,1442269.3401096798,14141887.9971497,
8860145b67fffff,873.67,4.852,0.467,0.487,1448091.1331092112,14153242.475232305,
88618925e7fffff,879.869,1.06,0.064,0.391,1442249.6631933204,14168079.34310052,
88618925a7fffff,882.825,0.856,0.064,0.372,1443922.1774318174,14159466.295736488,
8860145849fffff,870.67,2.088,0.352,0.509,1443947.058128376,14124621.737838771,
88618925a3fffff,874.652,3.648,1.504,0.568,1443090.896556007,14157216.993035492,
8860145a2dfffff,864.984,2.014,0.64,0.594,1443106.7944056254,14135423.362885574,
8860145a41fffff,863.695,1.561,0.064,0.512,1438941.526121188,14137276.103473827,
8860145b61fffff,914.279,4.792,0.064,0.081,1447256.8029696136,14155359.98247065,
8860145b03fffff,892.046,2.986,0.064,0.269,1446434.5720491013,14140034.142064624,
8860145b5dfffff,874.861,1.715,0.064,0.419,1443931.7360232354,14146374.698643284,
88618925b3fffff,891.596,2.524,0.064,0.276,1442266.1367055778,14146244.903302146,
88618925c3fffff,885.276,1.628,0.064,0.336,1438921.0948182694,14163443.749519836,
8860145a25fffff,883.991,2.014,0.064,0.342,1443941.020567882,14133312.9949718,
8860145b11fffff,879.178,1.471,0.064,0.388,1445606.3515289929,14133441.87610969,
8861892eddfffff,877.147,1.221,0.064,0.409,1443909.0059558144,14176968.478301423,
8861892eb7fffff,887.0,3.209,1.936,0.488,1448916.4601854316,14164230.044583568,
88618925b9fffff,885.393,1.904,0.064,0.332,1441428.4036781394,14152721.365911078,
8861892ed1fffff,876.095,2.334,0.755,0.513,1443912.3445665345,14172587.912830368,
8860145b69fffff,884.573,4.075,0.064,0.324,1446422.4175825971,14157478.17076419,
8860145a23fffff,870.603,0.873,4.341,0.696,1443112.9405845134,14126729.110688027,
8861892595fffff,873.139,1.763,0.064,0.433,1440597.1917594718,14150475.039933125,
8860145b6dfffff,908.593,3.551,0.064,0.132,1447253.7423605996,14159727.801035589,
8860145a6dfffff,867.517,2.524,0.179,0.498,1441434.9494246787,14144001.22115515,
8861892e83fffff,897.757,1.715,0.064,0.234,1446412.9813777565,14170596.181843573,
8860145a67fffff,860.136,1.454,11.446,0.8,1442272.5131006013,14137534.407353088,
8861892587fffff,868.181,4.287,1.256,0.604,1441425.0851788477,14157086.4276644,
8860145a6bfffff,885.849,3.257,0.064,0.317,1440607.0363471708,14137405.2476838,
8861892eb9fffff,892.987,2.574,0.064,0.264,1447247.529540926,14168473.452311188,
886189259bfffff,862.126,1.733,0.064,0.522,1438934.837171071,14145985.359266246,
8860145b19fffff,890.235,2.051,0.064,0.291,1444772.1814440645,14135552.39097337,
8861892597fffff,857.666,2.44,0.605,0.645,1440600.5036794348,14146115.123510737,
8861892eb1fffff,917.284,4.308,0.064,0.059,1448082.0224887894,14166351.406701744,
8861892e8bfffff,881.571,1.735,2.872,0.569,1445578.3780352145,14172719.595730992,
8860145b01fffff,903.707,4.255,0.064,0.169,1446431.579172175,14144390.164800411,
88618925c7fffff,869.74,1.628,0.433,0.534,1439752.3558767757,14165695.379423736,
8860145b4bfffff,888.236,2.148,0.064,0.306,1443928.5802869566,14150735.23661561,
88618925d7fffff,882.601,2.765,0.064,0.346,1438928.026759087,14154707.895467877,
8860145b1bfffff,891.436,1.466,0.064,0.289,1444775.1915514849,14131203.303187225,
8860145b0dfffff,875.204,3.123,0.064,0.404,1446428.555807739,14148749.507377582,
8860145b29fffff,872.685,5.012,5.277,0.651,1448094.1089065175,14148879.497001007,
8861892edbfffff,887.264,2.384,0.064,0.312,1443080.9924339813,14170333.129323095,
8860145a47fffff,854.781,3.257,4.744,0.798,1439775.9191267143,14135165.353032164,
8860145b39fffff,866.953,4.38,0.928,0.591,1447268.7402637098,14137921.979144817,
8860145b2dfffff,919.456,4.902,0.064,0.039,1448925.4079655018,14151125.648620257,
8861892eb3fffff,889.872,3.002,0.064,0.286,1448085.0899087905,14161978.425382089,
8861892ed7fffff,898.131,2.334,0.064,0.224,1444747.003943288,14170464.64768484,
8860145b3bfffff,906.922,4.38,0.064,0.142,1447271.6483439633,14133570.772671605,
8860145a63fffff,862.226,2.503,0.064,0.513,1441441.3735577855,14135294.350239433,
8860145a4dfffff,877.943,2.314,0.064,0.388,1438938.1968246754,14141629.073652713,
8860145a0dfffff,876.74,2.327,0.064,0.397,1440610.257111726,14133055.27895693,
88618925b7fffff,872.592,1.992,0.467,0.512,1443097.3470068981,14148489.574864157,
88618925a1fffff,878.681,3.187,0.467,0.453,1443087.6256498229,14161585.699224617,
8860145b1dfffff,886.075,1.543,0.064,0.331,1445603.3652850299,14137792.7730808,
8860145b55fffff,887.453,1.746,0.064,0.317,1444766.0698929809,14144260.501387583,
8860145a27fffff,877.45,1.466,0.179,0.43,1443944.0545561062,14128965.714969326,
88618925e1fffff,876.109,1.408,0.179,0.441,1441414.9470762336,14170201.62675548,
8860145b43fffff,891.221,2.572,0.064,0.278,1444762.9684324628,14148619.533332909,
8860145b59fffff,872.196,2.056,0.605,0.532,1443100.5265684128,14144130.853506768,
8861892e99fffff,886.029,1.325,0.064,0.335,1444750.2578273828,14166088.948535647,
8860145b57fffff,871.515,2.051,4.744,0.672,1444769.1408940393,14139904.78882227,
8860145b31fffff,896.427,3.124,0.064,0.233,1448102.853188195,14135810.493485134,
8861892e91fffff,888.904,1.523,0.064,0.309,1445584.8078486465,14163967.88330922,
88618925bbfffff,880.946,2.44,0.064,0.362,1441431.6917572848,14148359.631968522,
8860145b13fffff,879.476,1.268,0.064,0.389,1445609.307320559,14129094.287107684,
8860145b53fffff,880.364,1.612,0.064,0.376,1443937.9561552787,14137663.582484493,
8860145a05fffff,860.801,1.912,1.936,0.71,1441444.5400403,14130945.880823744,
8861892ed9fffff,865.494,2.521,6.861,0.73,1443077.630107537,14174711.862668043,
8860145a45fffff,858.023,2.948,0.064,0.544,1439772.644090823,14139516.822013127,
88618925abfffff,909.09,4.287,0.064,0.125,1442256.3439301567,14159335.566615464,
8860145b09fffff,884.453,2.04,0.064,0.338,1445597.3014061686,14146504.509536969,
8860145a61fffff,872.276,1.423,0.064,0.445,1441438.1766887119,14139646.128799332,
8861892593fffff,855.864,2.314,7.831,0.814,1439769.3386880106,14143871.60432991,
8861892585fffff,903.461,3.864,0.064,0.172,1441421.7362510222,14161454.821920112,
8861892e95fffff,898.334,2.348,0.064,0.223,1446416.157306222,14166220.169740977,
8860145b15fffff,893.207,2.752,0.064,0.261,1446437.5344469596,14135681.434505627,
8861892ebbfffff,876.176,4.308,6.616,0.633,1447250.6512205144,14164098.956079043,
88618925b1fffff,881.797,1.073,0.064,0.375,1442262.902879889,14150605.130477523,
8861892ed5fffff,881.711,1.798,0.064,0.363,1444743.7195492473,14174843.694405962,
8861892e97fffff,903.281,2.84,0.064,0.179,1446419.3027050276,14161847.500952756,
886189258bfffff,883.932,3.005,0.064,0.334,1439759.2401942115,14156955.877951683,
8861892cd9fffff,888.767,2.108,0.064,0.302,1448919.4733351395,14159858.577219356,
8860145b17fffff,874.709,3.377,2.872,0.611,1446440.4663741915,14131332.037468806,
886014584dfffff,890.59,2.088,0.064,0.288,1444778.1712247347,14126857.520820096,
8861892581fffff,885.74,2.007,0.064,0.328,1440590.47670542,14159204.85317633,
8860145b41fffff,867.744,2.572,0.467,0.545,1444759.8365040617,14152981.889331793,
8860145b35fffff,890.949,1.387,0.064,0.294,1448934.0808652008,14138051.200679347,
88618925a9fffff,884.634,2.679,0.064,0.331,1442253.0187893233,14163705.78496226,
8860145b49fffff,879.11,1.204,0.064,0.393,1443925.3940926215,14155099.100750651,
8860145b63fffff,891.498,2.496,0.064,0.277,1447259.8330559905,14150995.495684145,
8860145b23fffff,900.847,2.41,0.064,0.202,1448931.2204268044,14142406.030236645,
8861892599fffff,871.403,1.562,0.064,0.449,1438931.447151999,14150344.96497959,
8861892583fffff,867.417,2.007,1.249,0.624,1440593.8494375932,14154838.281592952,
8861892591fffff,875.653,2.168,0.064,0.408,1439766.0029098918,14148229.70464318,
8860145b21fffff,919.982,5.012,0.064,0.035,1448928.3294630588,14146764.177993275,
8860145b0bfffff,873.582,3.158,0.064,0.417,1445600.3485802333,14142146.982670188,
88618925e3fffff,876.77,2.923,0.179,0.42,1441418.3568862784,14165826.553379886,
8861892cdbfffff,896.298,2.537,0.064,0.238,1448922.455925681,14155490.446798613,
8860145b51fffff,883.945,1.715,0.064,0.346,1443934.8613098694,14142017.482155606,
886189259dfffff,856.498,3.005,10.517,0.812,1439762.6367480839,14152591.127623564,
8860145b6bfffff,868.551,4.792,0.294,0.501,1446425.501947358,14153112.17447066,
8861892e9bfffff,885.535,1.032,0.064,0.345,1444753.4812099359,14161716.592234548,
