hospital_id,hospital_type,beds,doctors,specialties,lat,lon,catchment_area_h3,ward_id
kml_1,,,,,13.123417,77.605472,"['886016971dfffff', '8860169753fffff', '8860169661fffff', '8860169627fffff', '8861892da5fffff', '8861892d81fffff', '8860169715fffff', '8861892dbdfffff', '886016966bfffff', '8861892db5fffff', '8860169607fffff', '886016976bfffff', '886016971bfffff', '8861892d93fffff', '8860169701fffff', '8860169645fffff', '8861892d87fffff', '8860169621fffff', '8860169641fffff', '8861892da3fffff', '8860169663fffff', '8861892dabfffff', '8861892d83fffff', '8860169647fffff', '8860169763fffff', '886016962bfffff', '8861892db1fffff', '8860169709fffff', '886016975bfffff', '886016962dfffff', '8861892d95fffff', '886016964dfffff', '8860169665fffff', '8860169609fffff', '8860169635fffff', '8861892d97fffff', '886016963dfffff', '8860169755fffff', '8861892d8bfffff', '8861892d99fffff', '886016975dfffff', '8860169711fffff', '8860169751fffff', '8861892db9fffff', '8860169769fffff', '8861892d9bfffff', '8861892d85fffff', '8860169703fffff', '8861892dbbfffff', '8860169293fffff', '8861892da7fffff', '8860169643fffff', '8860169759fffff', '8860169717fffff', '886016960dfffff', '886016944dfffff', '8860169667fffff', '8860169719fffff', '8860169669fffff', '886016974bfffff', '8860169707fffff', '8860169605fffff', '8860169745fffff', '8860169705fffff', '8860169713fffff', '8860169629fffff', '8860169757fffff', '8861892dd7fffff', '8861892da1fffff', '886016970dfffff', '8860169741fffff', '8860169739fffff', '886016973bfffff', '8860169743fffff', '8860169449fffff', '8860169749fffff', '8860169747fffff', '8861892dadfffff', '8861892db3fffff', '886016929bfffff', '8860169623fffff', '8860169761fffff', '886016966dfffff', '8861892d91fffff', '8860169601fffff', '8860169625fffff', '8861892d9dfffff', '886016970bfffff', '8861892da9fffff', '8861892db7fffff', '886016974dfffff']",
kml_2,,,,,13.102361,77.565694,"['886016944bfffff', '8860169753fffff', '8860169661fffff', '8860169627fffff', '886016940bfffff', '88601696edfffff', '886016966bfffff', '8860169607fffff', '8860169619fffff', '8860169685fffff', '886016965dfffff', '886016971bfffff', '88601696cdfffff', '8860169645fffff', '8860169621fffff', '8860169641fffff', '886016961dfffff', '88601696e1fffff', '8860169663fffff', '8860169611fffff', '8860169453fffff', '886016961bfffff', '8860169615fffff', '8860169447fffff', '8860169647fffff', '88601696e9fffff', '886016962bfffff', '886016962dfffff', '886016975bfffff', '886016960bfffff', '8860169665fffff', '8860169451fffff', '8860169443fffff', '8860169609fffff', '8860169635fffff', '8860145925fffff', '886016963dfffff', '88601696ebfffff', '8860169657fffff', '8860169659fffff', '8860169711fffff', '8860145927fffff', '88601696a9fffff', '8860169613fffff', '8860169455fffff', '8860169633fffff', '88601696e7fffff', '88601696c5fffff', '8860169651fffff', '88601696c9fffff', '8860169409fffff', '8860169643fffff', '8860145921fffff', '886016945bfffff', '886016960dfffff', '88601696e5fffff', '886016944dfffff', '8860169667fffff', '88601696adfffff', '886016968dfffff', '8860169719fffff', '8860169669fffff', '8860169457fffff', '8860169639fffff', '886014592dfffff', '8860169605fffff', '8860169631fffff', '886016964bfffff', '8860169637fffff', '8860169713fffff', '886016963bfffff', '8860169629fffff', '88601696e3fffff', '8860169655fffff', '8860169441fffff', '88601696c7fffff', '886016965bfffff', '88601696c1fffff', '8861892cb7fffff', '886016945dfffff', '8860169449fffff', '8860169603fffff', '8860169623fffff', '886016966dfffff', '8860169653fffff', '8860169617fffff', '8860169459fffff', '8860145923fffff', '8860169445fffff', '8860169601fffff', '8860169625fffff']",
kml_3,,,,,13.080389,77.553639,"['8861892cbbfffff', '8861892c97fffff', '8860169689fffff', '88601696edfffff', '886014596dfffff', '8860169619fffff', '8860169607fffff', '886016965dfffff', '8860145961fffff', '88601696cdfffff', '88601696d5fffff', '8860169641fffff', '886014590bfffff', '886016961dfffff', '88601696e1fffff', '88601696d1fffff', '8860169611fffff', '88601696cbfffff', '886014593bfffff', '886016961bfffff', '8860169615fffff', '886014591dfffff', '8861892c93fffff', '8860169647fffff', '88601696e9fffff', '886016962bfffff', '8860145947fffff', '8861892cb1fffff', '886016960bfffff', '8860145915fffff', '8860169649fffff', '8860169609fffff', '8860145925fffff', '886016963dfffff', '8860145909fffff', '88601696ebfffff', '8860169657fffff', '8860169659fffff', '8860145969fffff', '8860145905fffff', '8860145927fffff', '886014590dfffff', '8860169613fffff', '8860145901fffff', '8860169633fffff', '88601696c5fffff', '88601696e7fffff', '8860169651fffff', '8860145965fffff', '88601696c9fffff', '8860145907fffff', '8860169643fffff', '8860145921fffff', '8860145963fffff', '886016960dfffff', '88601696e5fffff', '88601696d9fffff', '8860145967fffff', '8860145939fffff', '8860145929fffff', '886016968dfffff', '886014593dfffff', '886014592dfffff', '8860169639fffff', '8860169605fffff', '8860169631fffff', '886016964bfffff', '886016963bfffff', '886014592bfffff', '88601696e3fffff', '8860169655fffff', '8860145935fffff', '88601696c7fffff', '886016965bfffff', '88601696ddfffff', '8861892cb3fffff', '88601696c1fffff', '8860145937fffff', '8861892cb7fffff', '8860145931fffff', '88601696c3fffff', '8860169603fffff', '8860145903fffff', '8860145945fffff', '8860169653fffff', '8860145923fffff', '8860169617fffff', '8860169601fffff', '8861892cb5fffff', '8860145933fffff', '886014596bfffff']",ward_181
kml_4,,,,,13.0985,77.627722,"['8860169661fffff', '8861892da5fffff', '8861892dd3fffff', '8861892d81fffff', '8861892c31fffff', '8861892dbdfffff', '886016966bfffff', '8861892db5fffff', '8861892d17fffff', '8861892dc1fffff', '8861892ce5fffff', '8861892d93fffff', '8860169645fffff', '8861892d87fffff', '8861892c33fffff', '8860169641fffff', '8861892da3fffff', '8860169663fffff', '8861892dabfffff', '8861892cadfffff', '8861892d13fffff', '8861892de7fffff', '8861892ca7fffff', '8861892d83fffff', '8860169647fffff', '8861892db1fffff', '8861892dd9fffff', '8861892de5fffff', '886016975bfffff', '8861892dc7fffff', '8861892d95fffff', '8861892dddfffff', '8861892debfffff', '886016964dfffff', '8860169665fffff', '8860169649fffff', '8861892d97fffff', '8860169755fffff', '8861892d8bfffff', '8861892ce7fffff', '88601692d3fffff', '8861892d99fffff', '886016975dfffff', '8861892dd5fffff', '8860169751fffff', '8861892db9fffff', '8861892d9bfffff', '8861892d85fffff', '8861892dedfffff', '8861892dcdfffff', '8861892dbbfffff', '8861892de3fffff', '8861892de9fffff', '8861892c35fffff', '8861892ca1fffff', '8861892da7fffff', '8861892dc9fffff', '8860169759fffff', '886016960dfffff', '8861892d8dfffff', '8860169667fffff', '8861892ddbfffff', '8861892cabfffff', '8860169669fffff', '8861892dc5fffff', '886016974bfffff', '8861892de1fffff', '8861892dc3fffff', '8861892ca3fffff', '8861892dd7fffff', '8861892da1fffff', '8860169741fffff', '8861892ca5fffff', '88601692dbfffff', '8861892dcbfffff', '8860169743fffff', '8860169749fffff', '8861892dadfffff', '8861892d89fffff', '8861892db3fffff', '886016929bfffff', '8861892ca9fffff', '886016966dfffff', '8861892dd1fffff', '8861892c37fffff', '8861892d91fffff', '8861892da9fffff', '8861892d9dfffff', '8861892db7fffff', '886016974dfffff', '8860169299fffff']",
kml_5,,,,,13.069738,77.632016,"['8861892c19fffff', '8861892cedfffff', '8861892d1bfffff', '8861892c01fffff', '8861892c27fffff', '8861892dd3fffff', '8861892d81fffff', '8861892c31fffff', '8861892c2bfffff', '8861892dc1fffff', '8861892ce5fffff', '8861892c81fffff', '8861892c39fffff', '8861892c0bfffff', '8861892d93fffff', '8861892d87fffff', '8861892c07fffff', '8861892c33fffff', '8861892c57fffff', '8861892c85fffff', '8861892ce3fffff', '8861892c05fffff', '8861892cadfffff', '8861892ccdfffff', '8861892d13fffff', '8861892ca7fffff', '8861892d83fffff', '8861892dd9fffff', '8861892cc1fffff', '8861892dc7fffff', '8861892d95fffff', '8861892dddfffff', '8861892debfffff', '886016964dfffff', '8860169649fffff', '8861892c3bfffff', '8861892d97fffff', '8861892d8bfffff', '8861892ce7fffff', '8861892c1dfffff', '8861892d99fffff', '8861892dd5fffff', '8861892db9fffff', '8861892d9bfffff', '8861892ce1fffff', '8861892d85fffff', '8861892dcdfffff', '8861892dbbfffff', '8861892de3fffff', '8861892de9fffff', '8861892c35fffff', '8861892ca1fffff', '8861892ce9fffff', '8861892c1bfffff', '8861892dc9fffff', '8861892c2dfffff', '8861892c89fffff', '8861892d8dfffff', '8861892cebfffff', '8861892ddbfffff', '8861892c17fffff', '8861892cabfffff', '8861892c13fffff', '8861892dc5fffff', '8861892de1fffff', '8861892c8dfffff', '8861892dc3fffff', '8861892ca3fffff', '8861892c11fffff', '8861892cc7fffff', '8861892cc5fffff', '8861892dd7fffff', '8861892c25fffff', '8861892ca5fffff', '8861892dcbfffff', '8861892c3dfffff', '8861892cc3fffff', '8861892c23fffff', '8861892c15fffff', '8861892d89fffff', '8861892cbdfffff', '8861892c03fffff', '8861892ca9fffff', '8861892dd1fffff', '8861892c37fffff', '8861892d91fffff', '8861892c21fffff', '8861892c87fffff', '8861892d9dfffff', '8861892cb5fffff', '8861892c29fffff']",ward_191
kml_6,,,,,13.065587,77.600227,"['8861892cbbfffff', '8861892c83fffff', '8861892cedfffff', '8861892c8bfffff', '8860169661fffff', '8861892c97fffff', '8861892dd3fffff', '886016966bfffff', '886014596dfffff', '8861892c91fffff', '886016965dfffff', '8861892c81fffff', '8861892ce5fffff', '8861892d93fffff', '8860145961fffff', '8860169645fffff', '8861892c33fffff', '8860169641fffff', '8860169663fffff', '8861892c85fffff', '8861892ce3fffff', '8861892cadfffff', '8861892ca7fffff', '8861892c93fffff', '8860169647fffff', '8861892d83fffff', '8861892dd9fffff', '8861892cb1fffff', '8861892cc1fffff', '886016960bfffff', '8861892d95fffff', '8861892dddfffff', '886016964dfffff', '8860169649fffff', '8860169609fffff', '8861892d97fffff', '8861892d8bfffff', '8861892ce7fffff', '8860169657fffff', '8861892d99fffff', '8860169659fffff', '8861892dd5fffff', '8860145969fffff', '8861892db9fffff', '8861892c99fffff', '8861892d9bfffff', '8861892ce1fffff', '8861892dbbfffff', '8861892ca1fffff', '8860169651fffff', '8860145965fffff', '8860169643fffff', '8861892ce9fffff', '8861892c89fffff', '886016960dfffff', '8861892cb9fffff', '8860145967fffff', '8861892cebfffff', '8861892ddbfffff', '8861892cabfffff', '8860169669fffff', '886014592dfffff', '8860169605fffff', '886016964bfffff', '8861892c8dfffff', '8861892c9bfffff', '8861892ca3fffff', '8861892cc7fffff', '8861892cc5fffff', '8861892dd7fffff', '8860169655fffff', '8861892cd7fffff', '886016965bfffff', '8861892ca5fffff', '8861892cb3fffff', '8861892cb7fffff', '8861892cc3fffff', '8861892cbdfffff', '8861892ca9fffff', '886016966dfffff', '8861892dd1fffff', '8861892cd5fffff', '8860169653fffff', '8861892c9dfffff', '8861892c95fffff', '8861892c37fffff', '8861892d91fffff', '8860169601fffff', '8861892c87fffff', '8861892cb5fffff', '8861892d9dfffff']",ward_161
kml_7,,,,,13.060083,77.575389,"['8861892cbbfffff', '8861892c83fffff', '8861892c8bfffff', '8861892c97fffff', '886016966bfffff', '8860145943fffff', '886014596dfffff', '8860169619fffff', '8861892c91fffff', '886016965dfffff', '8861892c81fffff', '8860145961fffff', '8861892d93fffff', '8860169645fffff', '8860145949fffff', '8860169641fffff', '886016961dfffff', '8861892c85fffff', '8861892ce3fffff', '8860169611fffff', '8861892cadfffff', '886016961bfffff', '8861892ca7fffff', '8860169615fffff', '8861892c93fffff', '8860169647fffff', '8860145947fffff', '8861892cb1fffff', '886016960bfffff', '886016964dfffff', '8860169649fffff', '8860169609fffff', '8860145925fffff', '8860145909fffff', '8860169657fffff', '8861892ce7fffff', '8860169659fffff', '8860145969fffff', '8860145905fffff', '8861892c99fffff', '8860145927fffff', '886014590dfffff', '8861892d9bfffff', '8860145901fffff', '8861892ca1fffff', '8860169651fffff', '8860145965fffff', '8860145907fffff', '8860169643fffff', '8860145963fffff', '8860145921fffff', '886014594bfffff', '8861892cd1fffff', '8861892c89fffff', '886016960dfffff', '8861892cb9fffff', '8860145967fffff', '8860145929fffff', '8861892cabfffff', '8860169669fffff', '886014593dfffff', '886014592dfffff', '886014594dfffff', '886016964bfffff', '8861892c9bfffff', '8861892c8dfffff', '8861892ca3fffff', '886014592bfffff', '8861892cd3fffff', '8860169655fffff', '8861892cd7fffff', '886016965bfffff', '8861892ca5fffff', '8861892cb3fffff', '8861892cb7fffff', '8860145b25fffff', '8861892cbdfffff', '8860169603fffff', '8861892ca9fffff', '8861892cd5fffff', '8860145945fffff', '8860169653fffff', '8861892c9dfffff', '8860145923fffff', '8861892c95fffff', '8860145941fffff', '8860145b27fffff', '8860169601fffff', '8861892c87fffff', '8861892cb5fffff', '886014596bfffff']",ward_142
kml_8,,,,,13.068296,77.578247,"['8861892cbbfffff', '8861892c83fffff', '8861892c8bfffff', '8860169661fffff', '8861892c97fffff', '886016966bfffff', '8860145943fffff', '886014596dfffff', '8860169619fffff', '8860169607fffff', '8861892c91fffff', '886016965dfffff', '8861892c81fffff', '8860145961fffff', '8861892d93fffff', '88601696cdfffff', '8860169645fffff', '8860169641fffff', '886016961dfffff', '8860169663fffff', '8861892c85fffff', '8860169611fffff', '8861892cadfffff', '886016961bfffff', '8861892ca7fffff', '8860169615fffff', '8861892c93fffff', '8860169647fffff', '8860145947fffff', '8861892cb1fffff', '886016960bfffff', '886016964dfffff', '8860169649fffff', '8860169609fffff', '8860145925fffff', '8860145909fffff', '8860169657fffff', '8860169659fffff', '8860145969fffff', '8860145905fffff', '8861892c99fffff', '8860145927fffff', '886014590dfffff', '8861892d9bfffff', '8860169613fffff', '8860145901fffff', '8861892ca1fffff', '8860169651fffff', '8860145965fffff', '88601696c9fffff', '8860145907fffff', '8860169643fffff', '8860145921fffff', '8860145963fffff', '886016960dfffff', '8861892cb9fffff', '8860145967fffff', '8860145929fffff', '8861892cabfffff', '8860169669fffff', '886014593dfffff', '8860169639fffff', '886014592dfffff', '886014594dfffff', '8860169605fffff', '886016964bfffff', '8861892c9bfffff', '8861892ca3fffff', '886016963bfffff', '886014592bfffff', '8860169655fffff', '8860145935fffff', '8861892cd7fffff', '886016965bfffff', '8861892ca5fffff', '8861892cb3fffff', '8861892cb7fffff', '8861892cbdfffff', '8860169603fffff', '8861892ca9fffff', '8860145945fffff', '8860169653fffff', '8860169617fffff', '8860145923fffff', '8861892c9dfffff', '8861892c95fffff', '8860145941fffff', '8860169601fffff', '8861892c87fffff', '8861892cb5fffff', '886014596bfffff']",ward_180
kml_9,,,,,13.070917,77.557056,"['8861892cbbfffff', '8861892c97fffff', '8860145957fffff', '88601696edfffff', '8860145943fffff', '886014596dfffff', '8860169619fffff', '8860169607fffff', '8861892c91fffff', '886016965dfffff', '8860145961fffff', '88601696cdfffff', '8860169641fffff', '886014590bfffff', '886016961dfffff', '88601696e1fffff', '8860169611fffff', '88601696cbfffff', '886014593bfffff', '886016961bfffff', '8860169615fffff', '886014591dfffff', '8861892c93fffff', '8860169647fffff', '88601696e9fffff', '8860145947fffff', '8861892cb1fffff', '886016960bfffff', '8860145915fffff', '8860169649fffff', '8860169609fffff', '8860145925fffff', '8860145909fffff', '88601696ebfffff', '8860169657fffff', '8860169659fffff', '8860145969fffff', '8860145905fffff', '8860145927fffff', '886014590dfffff', '8860169613fffff', '8860145901fffff', '8860145955fffff', '88601696c5fffff', '8860169651fffff', '8860145965fffff', '88601696c9fffff', '8860145907fffff', '8860169643fffff', '8860145921fffff', '8860145963fffff', '886016960dfffff', '88601696d9fffff', '8861892cb9fffff', '8860145967fffff', '8860145939fffff', '8860145929fffff', '886014593dfffff', '8860169639fffff', '886014592dfffff', '886014594dfffff', '8860169605fffff', '886016964bfffff', '8861892c9bfffff', '8861892ca3fffff', '886016963bfffff', '886014592bfffff', '8860169655fffff', '8860145935fffff', '88601696c7fffff', '886016965bfffff', '88601696ddfffff', '8861892cb3fffff', '88601696c1fffff', '8860145937fffff', '8861892cb7fffff', '8860145931fffff', '88601696c3fffff', '8861892cbdfffff', '8860169603fffff', '8860145903fffff', '8860145945fffff', '8860169653fffff', '8860145923fffff', '8860169617fffff', '8861892c95fffff', '8860145941fffff', '8860169601fffff', '8861892cb5fffff', '8860145933fffff', '886014596bfffff']",ward_181
kml_10,,,,,13.070528,77.538861,"['88601459e1fffff', '886014591bfffff', '8860145957fffff', '8860169689fffff', '88601696edfffff', '8860145943fffff', '886014596dfffff', '8860169619fffff', '8860169685fffff', '886016965dfffff', '88601459e7fffff', '8860145961fffff', '88601696cdfffff', '88601696d5fffff', '886014590bfffff', '886016961dfffff', '88601696e1fffff', '88601696d1fffff', '8860169611fffff', '88601696cbfffff', '886014593bfffff', '886016961bfffff', '8860145913fffff', '8860169615fffff', '886014591dfffff', '88601696e9fffff', '8860145947fffff', '886016960bfffff', '8860145915fffff', '886016968bfffff', '8860145925fffff', '8860145909fffff', '88601696ebfffff', '8860169657fffff', '8860169659fffff', '8860145969fffff', '8860145905fffff', '88601459e5fffff', '88601459e9fffff', '88601459adfffff', '8860145927fffff', '886014590dfffff', '8860169613fffff', '8860145901fffff', '8860145955fffff', '88601696c5fffff', '88601696d3fffff', '8860169651fffff', '8860145965fffff', '88601696c9fffff', '8860145907fffff', '8860145921fffff', '8860145963fffff', '8860145919fffff', '88601696d9fffff', '8860145967fffff', '8860145939fffff', '8860145929fffff', '8860145917fffff', '886016968dfffff', '886014593dfffff', '886014592dfffff', '8860169639fffff', '88601459edfffff', '886016963bfffff', '886014592bfffff', '88601696e3fffff', '8860169655fffff', '8860145935fffff', '88601696c7fffff', '886016965bfffff', '8860145911fffff', '88601696ddfffff', '8861892cb3fffff', '88601696c1fffff', '8860145937fffff', '8861892cb7fffff', '88601696dbfffff', '8860145931fffff', '88601696c3fffff', '8860169603fffff', '8860169681fffff', '8860145903fffff', '8860145945fffff', '8860169653fffff', '8860145923fffff', '8860169617fffff', '88601696d7fffff', '8860145941fffff', '8860145933fffff', '886014596bfffff']",ward_184
