h3_id,income_lower_pct,income_middle_pct,income_upper_pct,rental_prices,property_values,slum_population_percentage,housing_type,ward_id
886189256dfffff,0.133,0.588,0.279,31178.11,111609.3,0.108,apartment,
8860145a03fffff,0.05,0.592,0.358,34390.38,127764.11,0.018,apartment,
8860145855fffff,0.153,0.568,0.279,33594.18,127718.21,0.0,apartment,
8861892ee3fffff,0.05,0.528,0.422,35844.47,129057.49,0.0,apartment,
886014582dfffff,0.088,0.617,0.295,34337.94,125519.0,0.025,apartment,
88601696c1fffff,0.156,0.61,0.234,28190.36,97613.21,0.136,apartment,
8861892503fffff,0.05,0.633,0.317,33985.01,128026.88,0.016,apartment,
886014592dfffff,0.155,0.516,0.329,30585.15,114458.04,0.079,apartment,
8860145b33fffff,0.059,0.597,0.344,36030.53,130200.86,0.0,apartment,
886014580dfffff,0.09,0.584,0.326,34144.82,128666.06,0.015,apartment,
88618925ebfffff,0.05,0.631,0.319,37119.3,137433.77,0.04,apartment,
8860145809fffff,0.108,0.571,0.322,34385.24,126377.95,0.006,apartment,
8860145907fffff,0.139,0.573,0.288,31476.34,112705.24,0.113,apartment,
8860145b05fffff,0.05,0.591,0.359,37349.02,137209.81,0.017,apartment,
8861892423fffff,0.088,0.631,0.28,35575.82,127695.06,0.003,apartment,
88618924c1fffff,0.072,0.616,0.311,32158.93,117063.03,0.128,apartment,
886014585bfffff,0.083,0.638,0.279,32362.24,117360.87,0.049,apartment,
88601458cdfffff,0.1,0.573,0.326,30355.94,103657.34,0.035,apartment,
88601696d9fffff,0.262,0.449,0.289,28393.14,100407.34,0.07,apartment,
8860145989fffff,0.121,0.679,0.199,29117.29,106562.82,0.171,apartment,
88601459dbfffff,0.232,0.524,0.244,29012.12,100926.95,0.053,apartment,
8860145921fffff,0.264,0.444,0.292,30530.75,108075.31,0.049,apartment,
88618925e1fffff,0.058,0.568,0.373,37804.79,134408.22,0.081,apartment,
8861892ce9fffff,0.122,0.614,0.264,32625.35,122605.22,0.04,apartment,
8860145b31fffff,0.05,0.643,0.307,36495.53,134396.14,0.0,apartment,
8860145909fffff,0.057,0.611,0.332,32995.08,117956.03,0.0,apartment,
8861892537fffff,0.05,0.636,0.314,34988.33,132243.0,0.016,apartment,
8861892cd5fffff,0.05,0.594,0.356,35690.38,127156.32,0.095,apartment,
88601459d5fffff,0.217,0.539,0.244,27902.47,99054.63,0.077,apartment,
8860145b1dfffff,0.05,0.619,0.331,36659.69,133872.14,0.044,apartment,
8861892585fffff,0.05,0.635,0.315,38066.28,135455.31,0.148,apartment,
886014590dfffff,0.05,0.643,0.307,33733.4,123251.38,0.03,apartment,
8860145121fffff,0.18,0.526,0.294,31403.45,119255.43,0.035,apartment,
8861892ec1fffff,0.05,0.648,0.302,35176.5,129068.17,0.016,apartment,
8860145ae7fffff,0.144,0.555,0.301,33387.78,116977.52,0.134,apartment,
8860145b25fffff,0.05,0.653,0.297,35070.38,128965.73,0.062,apartment,
8861892c93fffff,0.075,0.601,0.325,34476.22,126633.16,0.132,apartment,
8861892c95fffff,0.089,0.605,0.306,33484.88,122694.63,0.032,apartment,
8861892e19fffff,0.121,0.554,0.325,33714.07,122051.64,0.043,apartment,
886189242dfffff,0.101,0.645,0.254,32290.91,122747.39,0.03,apartment,
8860145b19fffff,0.05,0.678,0.272,37336.9,138761.14,0.0,apartment,
8861892435fffff,0.05,0.679,0.271,34288.26,129026.51,0.052,apartment,
8861892c15fffff,0.05,0.681,0.269,32349.93,117428.81,0.054,apartment,
8861892ce7fffff,0.163,0.57,0.267,31202.61,114322.6,0.097,apartment,
8860145901fffff,0.131,0.596,0.273,33203.81,118614.5,0.055,apartment,
8861892511fffff,0.11,0.543,0.347,35091.72,130364.04,0.0,apartment,
8860145935fffff,0.228,0.512,0.26,30655.67,105775.41,0.029,apartment,
886189258bfffff,0.05,0.608,0.342,36971.55,137396.77,0.0,apartment,
88618924adfffff,0.069,0.645,0.286,35418.75,129933.78,0.021,apartment,
8861892517fffff,0.111,0.561,0.328,35699.01,132656.21,0.055,apartment,
8860145857fffff,0.084,0.659,0.257,32961.05,120632.04,0.095,apartment,
88618924c7fffff,0.05,0.661,0.289,31819.98,117812.65,0.044,apartment,
8860145951fffff,0.096,0.594,0.31,33244.93,126957.69,0.0,apartment,
8860145b53fffff,0.06,0.616,0.323,36856.76,138590.85,0.0,apartment,
8860145ae9fffff,0.103,0.591,0.305,32818.28,119618.97,0.115,apartment,
8860145aa5fffff,0.141,0.495,0.363,31650.73,115529.37,0.174,apartment,
8860145835fffff,0.051,0.695,0.253,30976.24,109867.45,0.141,apartment,
8860145833fffff,0.052,0.679,0.27,30894.7,109143.41,0.087,apartment,
8861892509fffff,0.122,0.569,0.309,32967.33,119689.14,0.081,apartment,
8860145823fffff,0.085,0.668,0.247,32631.89,118471.99,0.092,apartment,
88601459e3fffff,0.306,0.401,0.293,27856.05,100588.67,0.084,apartment,
88618920b1fffff,0.204,0.511,0.286,29642.17,107363.61,0.076,apartment,
8860169655fffff,0.148,0.616,0.237,30673.55,108146.81,0.119,apartment,
8861892c3bfffff,0.162,0.546,0.292,30737.59,113420.06,0.106,apartment,
8861892c9dfffff,0.095,0.563,0.342,34643.7,127941.16,0.174,apartment,
8861892565fffff,0.186,0.529,0.285,31987.82,109660.56,0.009,apartment,
8860145ac1fffff,0.1,0.624,0.276,30641.15,112658.16,0.0,apartment,
886189243dfffff,0.05,0.613,0.337,34170.78,123897.58,0.081,apartment,
88618924abfffff,0.11,0.611,0.28,35169.71,128725.6,0.0,apartment,
88618924e3fffff,0.05,0.598,0.352,34451.39,120850.04,0.0,apartment,
8860145ad9fffff,0.113,0.62,0.267,29080.19,103449.83,0.044,apartment,
886189248bfffff,0.07,0.663,0.268,32513.5,119344.94,0.034,apartment,
8860145a81fffff,0.193,0.539,0.268,30131.79,109268.33,0.059,apartment,
8860145a43fffff,0.05,0.664,0.286,35781.05,130222.75,0.047,apartment,
88601459cdfffff,0.128,0.573,0.299,31489.32,110503.91,0.0,apartment,
88618925b7fffff,0.05,0.59,0.36,37613.91,138186.55,0.038,apartment,
8860145813fffff,0.16,0.545,0.295,30689.3,109895.59,0.095,apartment,
8861892429fffff,0.05,0.684,0.266,33492.36,122804.36,0.0,apartment,
886189249dfffff,0.075,0.59,0.335,31643.74,117695.14,0.154,apartment,
886189251bfffff,0.063,0.592,0.345,35367.7,128679.0,0.0,apartment,
88618924b1fffff,0.056,0.64,0.304,34738.34,124757.73,0.047,apartment,
8861892eb1fffff,0.05,0.638,0.312,36803.33,134760.0,0.065,apartment,
8860145a1dfffff,0.05,0.63,0.32,35345.22,127325.51,0.053,apartment,
8861892eb7fffff,0.127,0.492,0.381,35809.15,133447.63,0.0,apartment,
8860145b69fffff,0.095,0.544,0.361,38106.16,139400.61,0.0,apartment,
88618925d3fffff,0.067,0.648,0.285,36596.41,127090.75,0.0,apartment,
8861892c5bfffff,0.054,0.639,0.307,33743.3,120172.78,0.102,apartment,
8860145a1bfffff,0.05,0.66,0.29,32902.12,120190.46,0.059,apartment,
8861892ea7fffff,0.05,0.606,0.344,33355.1,126406.71,0.037,apartment,
8860145925fffff,0.217,0.527,0.257,30157.7,111806.52,0.038,apartment,
8861892e07fffff,0.073,0.686,0.241,31352.02,114498.92,0.128,apartment,
886014586dfffff,0.05,0.655,0.295,36123.13,130160.25,0.102,apartment,
8861892489fffff,0.116,0.558,0.327,33493.92,118214.33,0.008,apartment,
886016965dfffff,0.194,0.526,0.28,30581.47,112731.25,0.0,apartment,
8860145955fffff,0.119,0.553,0.328,34383.58,122178.02,0.0,apartment,
8860145acdfffff,0.098,0.643,0.259,32772.07,119316.86,0.039,apartment,
8860145937fffff,0.162,0.548,0.29,29675.43,103088.97,0.157,apartment,
8860145b43fffff,0.05,0.631,0.319,38125.31,138951.9,0.0,apartment,
8860145947fffff,0.101,0.573,0.326,34892.72,123952.74,0.0,apartment,
8861892eabfffff,0.054,0.632,0.314,35523.77,130935.8,0.0,apartment,
8860145843fffff,0.05,0.658,0.292,34071.86,124108.83,0.116,apartment,
8860145945fffff,0.092,0.59,0.318,35300.67,123087.48,0.027,apartment,
