h3_id,income_lower_pct,income_middle_pct,income_upper_pct,rental_prices,property_values,slum_population_percentage,housing_type,ward_id
886189256dfffff,0.09,0.6,0.31,31979.39,122196.79,0.075,apartment,
8860145a03fffff,0.032,0.589,0.379,37566.21,138758.91,0.054,apartment,
8860145855fffff,0.09,0.557,0.353,36209.68,138676.03,0.104,apartment,
8861892ee3fffff,0.071,0.487,0.442,36892.26,143708.83,0.0,apartment,
886014582dfffff,0.041,0.543,0.416,35806.78,131211.61,0.162,apartment,
88601696c1fffff,0.128,0.646,0.226,29947.5,107687.74,0.159,apartment,
8861892503fffff,0.051,0.633,0.316,36358.22,140733.17,0.0,apartment,
886014592dfffff,0.114,0.499,0.387,32121.26,122946.73,0.008,apartment,
8860145b33fffff,0.032,0.565,0.402,37212.8,142244.45,0.044,apartment,
886014580dfffff,0.066,0.511,0.423,36068.81,136301.15,0.0,apartment,
88618925ebfffff,0.032,0.571,0.396,38103.64,148072.66,0.091,apartment,
8860145809fffff,0.047,0.548,0.405,35857.61,141642.77,0.085,apartment,
8860145907fffff,0.093,0.547,0.36,33921.49,123880.33,0.079,apartment,
8860145b05fffff,0.032,0.56,0.408,39959.21,149507.08,0.0,apartment,
8861892423fffff,0.032,0.595,0.372,36109.78,138379.48,0.003,apartment,
88618924c1fffff,0.032,0.568,0.4,33434.56,127642.48,0.098,apartment,
886014585bfffff,0.112,0.519,0.369,34738.54,134017.51,0.023,apartment,
88601458cdfffff,0.083,0.538,0.379,32402.4,120459.27,0.114,apartment,
88601696d9fffff,0.17,0.443,0.387,30071.5,108879.52,0.149,apartment,
8860145989fffff,0.098,0.619,0.282,30685.76,113800.06,0.038,apartment,
88601459dbfffff,0.162,0.493,0.344,30137.06,107327.48,0.013,apartment,
8860145921fffff,0.094,0.585,0.322,32899.96,117546.74,0.039,apartment,
88618925e1fffff,0.079,0.496,0.424,38637.2,153179.17,0.079,apartment,
8861892ce9fffff,0.113,0.479,0.409,33845.88,135118.66,0.11,apartment,
8860145b31fffff,0.032,0.554,0.414,37545.1,144221.04,0.0,apartment,
8860145909fffff,0.033,0.625,0.343,35336.09,135149.05,0.0,apartment,
8861892537fffff,0.032,0.598,0.37,37712.47,146010.06,0.006,apartment,
8861892cd5fffff,0.093,0.515,0.392,37472.25,144259.75,0.04,apartment,
88601459d5fffff,0.138,0.571,0.291,29198.84,111546.5,0.102,apartment,
8860145b1dfffff,0.032,0.544,0.424,38358.36,150342.12,0.007,apartment,
8861892585fffff,0.04,0.522,0.438,39350.3,152234.38,0.0,apartment,
886014590dfffff,0.047,0.599,0.354,34051.06,136684.53,0.081,apartment,
8860145121fffff,0.053,0.589,0.358,33483.98,131408.2,0.0,apartment,
8861892ec1fffff,0.032,0.56,0.408,37708.09,145158.58,0.0,apartment,
8860145ae7fffff,0.07,0.563,0.367,33993.57,129827.61,0.0,apartment,
8860145b25fffff,0.065,0.593,0.341,38301.65,142675.74,0.0,apartment,
8861892c93fffff,0.044,0.626,0.33,35703.49,141791.61,0.123,apartment,
8861892c95fffff,0.07,0.559,0.372,35367.42,132689.08,0.0,apartment,
8861892e19fffff,0.086,0.556,0.358,34538.85,127718.17,0.103,apartment,
886189242dfffff,0.081,0.545,0.375,35359.43,138501.46,0.068,apartment,
8860145b19fffff,0.037,0.52,0.443,38965.21,154636.96,0.09,apartment,
8861892435fffff,0.063,0.556,0.381,37156.29,141353.78,0.004,apartment,
8861892c15fffff,0.122,0.527,0.351,34450.51,126927.11,0.047,apartment,
8861892ce7fffff,0.095,0.551,0.354,32551.5,123484.2,0.105,apartment,
8860145901fffff,0.055,0.588,0.357,34893.58,126619.25,0.005,apartment,
8861892511fffff,0.056,0.534,0.41,37765.45,141036.31,0.068,apartment,
8860145935fffff,0.097,0.544,0.359,30759.25,119072.69,0.0,apartment,
886189258bfffff,0.043,0.586,0.372,39158.41,146332.13,0.0,apartment,
88618924adfffff,0.032,0.572,0.395,36996.51,143760.14,0.083,apartment,
8861892517fffff,0.032,0.559,0.409,37497.56,145563.07,0.116,apartment,
8860145857fffff,0.069,0.533,0.398,34668.47,132519.4,0.0,apartment,
88618924c7fffff,0.075,0.534,0.391,34363.11,134086.5,0.078,apartment,
8860145951fffff,0.062,0.6,0.338,35918.29,139518.95,0.046,apartment,
8860145b53fffff,0.032,0.534,0.434,39572.1,150884.25,0.0,apartment,
8860145ae9fffff,0.096,0.525,0.379,35387.4,136509.69,0.026,apartment,
8860145aa5fffff,0.054,0.587,0.359,33375.49,128540.68,0.037,apartment,
8860145835fffff,0.047,0.594,0.359,32388.18,125967.93,0.016,apartment,
8860145833fffff,0.091,0.605,0.304,32214.53,122760.04,0.148,apartment,
8861892509fffff,0.045,0.562,0.393,35610.66,137517.37,0.058,apartment,
8860145823fffff,0.101,0.582,0.317,33402.56,127164.39,0.135,apartment,
88601459e3fffff,0.123,0.573,0.304,30507.95,113054.43,0.03,apartment,
88618920b1fffff,0.135,0.572,0.293,30882.54,120772.67,0.0,apartment,
8860169655fffff,0.07,0.637,0.293,31267.54,120333.3,0.12,apartment,
8861892c3bfffff,0.061,0.591,0.348,33352.65,126884.46,0.008,apartment,
8861892c9dfffff,0.066,0.514,0.42,36389.64,138051.44,0.017,apartment,
8861892565fffff,0.047,0.555,0.398,34157.72,125032.23,0.047,apartment,
8860145ac1fffff,0.054,0.596,0.351,33739.26,125988.47,0.039,apartment,
886189243dfffff,0.109,0.445,0.446,36334.32,138361.91,0.095,apartment,
88618924abfffff,0.032,0.553,0.415,36551.56,141131.24,0.0,apartment,
88618924e3fffff,0.046,0.587,0.367,36096.0,137003.13,0.004,apartment,
8860145ad9fffff,0.198,0.469,0.333,30355.03,112405.3,0.185,apartment,
886189248bfffff,0.055,0.641,0.303,33908.77,129787.28,0.037,apartment,
8860145a81fffff,0.113,0.527,0.361,30697.63,119134.83,0.114,apartment,
8860145a43fffff,0.032,0.56,0.408,37203.76,141614.2,0.062,apartment,
88601459cdfffff,0.041,0.654,0.305,32625.44,127105.36,0.087,apartment,
88618925b7fffff,0.032,0.553,0.415,39738.8,155645.47,0.051,apartment,
8860145813fffff,0.096,0.464,0.439,32125.2,121333.75,0.07,apartment,
8861892429fffff,0.041,0.612,0.347,34582.02,132947.58,0.064,apartment,
886189249dfffff,0.128,0.622,0.25,32458.6,128662.89,0.022,apartment,
886189251bfffff,0.047,0.596,0.357,37447.27,144145.61,0.0,apartment,
88618924b1fffff,0.033,0.65,0.317,36058.9,138563.39,0.0,apartment,
8861892eb1fffff,0.032,0.591,0.376,38481.59,145491.96,0.04,apartment,
8860145a1dfffff,0.032,0.577,0.39,37355.36,140575.25,0.098,apartment,
8861892eb7fffff,0.032,0.54,0.428,38572.7,144224.38,0.019,apartment,
8860145b69fffff,0.032,0.512,0.456,39110.22,149651.41,0.0,apartment,
88618925d3fffff,0.033,0.639,0.328,37819.02,146531.06,0.0,apartment,
8861892c5bfffff,0.033,0.648,0.319,36104.69,134237.68,0.075,apartment,
8860145a1bfffff,0.087,0.582,0.33,34546.79,131877.58,0.1,apartment,
8861892ea7fffff,0.079,0.567,0.354,36219.4,139563.65,0.069,apartment,
