h3_id,lst_day,lst_night,heat_island_index,temperature_anomaly,centroid_x,centroid_y,ward_id
8860145a21fffff,32.576,25.089,3.788,-0.263,1443109.882698151,14131074.584306464,
8860145b07fffff,29.838,22.522,1.537,0.459,1447265.8016945948,14142276.498696266,
8860145b05fffff,31.881,25.047,3.58,0.059,1447262.8326281712,14146634.335986031,
88618925bdfffff,33.53,24.853,4.636,-0.011,1442259.6386242143,14154968.683352929,
8861892e9dfffff,31.718,26.411,3.226,-0.264,1445581.6082018341,14168342.06679904,
8860145a69fffff,33.554,26.211,4.45,-0.483,1440603.7852058723,14141758.527649673,
8860145b3dfffff,30.369,25.319,2.16,0.484,1448099.9689375567,14140163.510797957,
8860145b47fffff,33.602,25.216,5.112,0.585,1445594.2237544046,14150865.358350206,
8860145b4dfffff,31.784,26.236,3.195,0.139,1444756.6740993585,14157347.57406781,
8860145a2bfffff,34.026,24.142,5.134,0.638,1442278.7678765268,14128837.158208635,
88618925adfffff,33.1,26.532,4.309,0.201,1443084.3242786129,14165957.743082909,
8860145b65fffff,31.417,24.775,3.207,0.097,1448088.1267794506,14157608.78312748,
88618925b5fffff,31.251,24.085,2.461,0.267,1443094.137005565,14152851.619812874,
88618925e5fffff,29.645,23.49,0.749,-0.905,1442246.2771337659,14172456.24574753,
8860145b5bfffff,33.704,24.679,4.915,-0.057,1443103.6756985174,14139775.451068107,
8860145b45fffff,31.618,26.674,3.127,-0.166,1445591.1156165113,14155229.533788946,
8860145b2bfffff,32.881,25.221,4.672,0.893,1448097.0541798153,14144519.843748067,
88618925a5fffff,32.39,24.493,3.7,0.561,1443918.9302961372,14163836.826271249,
8861892ed3fffff,30.359,26.112,1.669,1.123,1443915.6526771758,14168210.697063109,
886189258dfffff,31.015,25.009,1.908,0.046,1440587.0735545682,14163574.759379406,
88618925ebfffff,31.509,27.018,2.402,-0.401,1440583.639976666,14167948.004908402,
88618925d5fffff,34.218,25.585,4.896,0.254,1438924.5759839665,14159074.155416233,
8861892e93fffff,31.156,24.588,2.665,-0.244,1445587.9769840662,14159597.04054225,
8861892589fffff,31.975,25.419,2.761,-0.976,1439755.813239899,14161323.960318178,
8860145a29fffff,31.332,25.384,2.44,0.565,1442275.6556867473,14133184.129255144,
8860145a65fffff,33.559,26.393,4.666,0.787,1442269.3401096798,14141887.9971497,
8860145b67fffff,30.339,25.475,2.13,-0.386,1448091.1331092112,14153242.475232305,
88618925e7fffff,33.641,24.951,4.745,0.588,1442249.6631933204,14168079.34310052,
88618925a7fffff,32.546,25.552,3.857,-0.325,1443922.1774318174,14159466.295736488,
8860145849fffff,31.591,25.058,2.905,-0.852,1443947.058128376,14124621.737838771,
88618925a3fffff,33.27,25.114,4.479,0.434,1443090.896556007,14157216.993035492,
8860145a2dfffff,32.738,23.408,3.949,-0.598,1443106.7944056254,14135423.362885574,
8860145a41fffff,30.231,25.774,0.911,0.146,1438941.526121188,14137276.103473827,
8860145b61fffff,31.93,25.345,3.629,0.184,1447256.8029696136,14155359.98247065,
8860145b03fffff,32.717,24.515,4.323,0.111,1446434.5720491013,14140034.142064624,
8860145b5dfffff,32.914,25.362,4.226,-0.229,1443931.7360232354,14146374.698643284,
88618925b3fffff,31.092,25.728,2.198,-0.05,1442266.1367055778,14146244.903302146,
88618925c3fffff,32.071,26.108,2.748,0.165,1438921.0948182694,14163443.749519836,
8860145a25fffff,29.873,24.653,1.186,-0.043,1443941.020567882,14133312.9949718,
8860145b11fffff,29.86,25.111,1.371,-0.018,1445606.3515289929,14133441.87610969,
8861892eddfffff,31.532,25.203,2.842,0.094,1443909.0059558144,14176968.478301423,
8861892eb7fffff,31.926,23.425,3.804,0.105,1448916.4601854316,14164230.044583568,
88618925b9fffff,33.017,26.182,4.018,-0.85,1441428.4036781394,14152721.365911078,
8861892ed1fffff,33.008,25.289,4.317,0.336,1443912.3445665345,14172587.912830368,
8860145b69fffff,30.648,25.503,2.253,0.088,1446422.4175825971,14157478.17076419,
8860145a23fffff,32.924,24.562,4.136,0.296,1443112.9405845134,14126729.110688027,
8861892595fffff,33.161,25.177,4.056,0.169,1440597.1917594718,14150475.039933125,
8860145b6dfffff,30.847,25.717,2.546,0.094,1447253.7423605996,14159727.801035589,
8860145a6dfffff,32.578,25.737,3.58,0.556,1441434.9494246787,14144001.22115515,
8861892e83fffff,31.91,25.14,3.514,0.088,1446412.9813777565,14170596.181843573,
8860145a67fffff,34.173,23.91,5.28,-0.629,1442272.5131006013,14137534.407353088,
8861892587fffff,32.786,26.446,3.786,-0.031,1441425.0851788477,14157086.4276644,
8860145a6bfffff,32.251,23.873,3.147,-0.016,1440607.0363471708,14137405.2476838,
8861892eb9fffff,31.698,21.813,3.396,0.83,1447247.529540926,14168473.452311188,
886189259bfffff,32.546,25.14,3.225,0.08,1438934.837171071,14145985.359266246,
8860145b19fffff,29.109,25.321,0.522,0.353,1444772.1814440645,14135552.39097337,
8861892597fffff,33.999,26.843,4.894,0.295,1440600.5036794348,14146115.123510737,
8861892eb1fffff,33.173,27.393,4.962,0.498,1448082.0224887894,14166351.406701744,
8861892e8bfffff,30.445,23.504,1.953,0.577,1445578.3780352145,14172719.595730992,
8860145b01fffff,31.537,24.537,3.143,0.466,1446431.579172175,14144390.164800411,
88618925c7fffff,31.898,24.968,2.684,0.0,1439752.3558767757,14165695.379423736,
8860145b4bfffff,31.515,26.478,2.826,0.225,1443928.5802869566,14150735.23661561,
88618925d7fffff,30.111,24.89,0.789,0.534,1438928.026759087,14154707.895467877,
8860145b1bfffff,29.041,24.989,0.455,0.064,1444775.1915514849,14131203.303187225,
8860145b0dfffff,30.421,25.212,2.026,0.638,1446428.555807739,14148749.507377582,
8860145b29fffff,29.237,23.049,1.028,0.339,1448094.1089065175,14148879.497001007,
8861892edbfffff,33.433,24.739,4.641,0.13,1443080.9924339813,14170333.129323095,
8860145a47fffff,31.494,26.812,2.283,-0.473,1439775.9191267143,14135165.353032164,
8860145b39fffff,29.896,24.639,1.597,0.158,1447268.7402637098,14137921.979144817,
8860145b2dfffff,29.84,23.551,1.719,-0.178,1448925.4079655018,14151125.648620257,
8861892eb3fffff,30.978,24.091,2.767,-0.626,1448085.0899087905,14161978.425382089,
8861892ed7fffff,31.433,25.397,2.843,0.043,1444747.003943288,14170464.64768484,
8860145b3bfffff,31.156,25.946,2.857,-0.295,1447271.6483439633,14133570.772671605,
8860145a63fffff,31.754,24.728,2.757,0.194,1441441.3735577855,14135294.350239433,
8860145a4dfffff,33.138,25.494,3.817,-0.927,1438938.1968246754,14141629.073652713,
8860145a0dfffff,31.1,24.626,1.996,0.371,1440610.257111726,14133055.27895693,
88618925b7fffff,32.1,26.66,3.31,0.154,1443097.3470068981,14148489.574864157,
88618925a1fffff,32.189,26.571,3.397,-0.462,1443087.6256498229,14161585.699224617,
8860145b1dfffff,32.462,25.191,3.972,-0.141,1445603.3652850299,14137792.7730808,
8860145b55fffff,28.84,25.431,0.252,-0.429,1444766.0698929809,14144260.501387583,
8860145a27fffff,32.924,25.199,4.237,-0.09,1443944.0545561062,14128965.714969326,
88618925e1fffff,32.961,26.113,3.961,-0.33,1441414.9470762336,14170201.62675548,
8860145b43fffff,30.241,25.914,1.653,-0.576,1444762.9684324628,14148619.533332909,
