h3_id,lst_day,lst_night,heat_island_index,temperature_anomaly,centroid_x,centroid_y,ward_id
8860145a21fffff,29.666,25.847,0.877,0.323,1443109.882698151,14131074.584306464,
8860145b07fffff,30.995,24.737,2.695,-0.262,1447265.8016945948,14142276.498696266,
8860145b05fffff,30.653,26.461,2.352,0.839,1447262.8326281712,14146634.335986031,
88618925bdfffff,37.555,26.403,8.661,-0.049,1442259.6386242143,14154968.683352929,
8861892e9dfffff,34.142,25.272,5.65,0.027,1445581.6082018341,14168342.06679904,
8860145a69fffff,31.821,27.768,2.716,0.614,1440603.7852058723,14141758.527649673,
8860145b3dfffff,29.806,27.864,1.598,0.127,1448099.9689375567,14140163.510797957,
8860145b47fffff,34.712,26.703,6.222,0.51,1445594.2237544046,14150865.358350206,
8860145b4dfffff,35.472,26.576,6.883,0.662,1444756.6740993585,14157347.57406781,
8860145a2bfffff,34.582,26.266,5.691,0.821,1442278.7678765268,14128837.158208635,
88618925adfffff,33.182,26.68,4.39,0.552,1443084.3242786129,14165957.743082909,
8860145b65fffff,31.227,26.238,3.017,0.01,1448088.1267794506,14157608.78312748,
88618925b5fffff,33.815,26.786,5.025,-0.247,1443094.137005565,14152851.619812874,
88618925e5fffff,32.183,28.314,3.287,0.108,1442246.2771337659,14172456.24574753,
8860145b5bfffff,34.189,26.463,5.399,-0.08,1443103.6756985174,14139775.451068107,
8860145b45fffff,34.917,26.428,6.427,0.462,1445591.1156165113,14155229.533788946,
8860145b2bfffff,32.636,26.309,4.427,0.011,1448097.0541798153,14144519.843748067,
88618925a5fffff,34.284,26.632,5.594,-0.405,1443918.9302961372,14163836.826271249,
8861892ed3fffff,34.915,25.743,6.225,0.832,1443915.6526771758,14168210.697063109,
886189258dfffff,31.95,25.546,2.844,0.021,1440587.0735545682,14163574.759379406,
88618925ebfffff,38.006,27.538,8.899,-0.191,1440583.639976666,14167948.004908402,
88618925d5fffff,35.866,26.486,6.543,0.114,1438924.5759839665,14159074.155416233,
8861892e93fffff,34.001,25.372,5.51,-0.168,1445587.9769840662,14159597.04054225,
8861892589fffff,34.872,27.592,5.658,0.759,1439755.813239899,14161323.960318178,
8860145a29fffff,35.22,24.067,6.328,0.051,1442275.6556867473,14133184.129255144,
8860145a65fffff,35.481,26.173,6.589,-0.318,1442269.3401096798,14141887.9971497,
8860145b67fffff,31.611,28.083,3.401,0.103,1448091.1331092112,14153242.475232305,
88618925e7fffff,35.945,27.692,7.049,-0.343,1442249.6631933204,14168079.34310052,
88618925a7fffff,35.441,25.874,6.752,0.102,1443922.1774318174,14159466.295736488,
8860145849fffff,35.827,26.665,7.141,0.125,1443947.058128376,14124621.737838771,
88618925a3fffff,34.644,28.198,5.853,0.123,1443090.896556007,14157216.993035492,
8860145a2dfffff,35.529,25.893,6.741,-0.116,1443106.7944056254,14135423.362885574,
8860145a41fffff,35.365,26.262,6.045,0.259,1438941.526121188,14137276.103473827,
