origin_h3,destination_h3,time_of_day,od_flow
8860145125fffff,8860145125fffff,18,1
8860145125fffff,8860145807fffff,3,1
8860145125fffff,8860145809fffff,13,1
8860145125fffff,8860145809fffff,14,1
8860145125fffff,8860145827fffff,6,1
8860145125fffff,8860145829fffff,0,1
8860145125fffff,8860145829fffff,17,1
8860145125fffff,8860145829fffff,21,1
8860145125fffff,886014582bfffff,1,1
8860145125fffff,886014582bfffff,5,1
8860145125fffff,8860145839fffff,0,1
8860145125fffff,8860145843fffff,4,1
8860145125fffff,8860145845fffff,13,1
8860145125fffff,8860145847fffff,0,1
8860145125fffff,8860145847fffff,7,1
8860145125fffff,8860145847fffff,23,1
8860145125fffff,886014584bfffff,2,1
8860145125fffff,886014584bfffff,3,1
8860145125fffff,886014584bfffff,20,1
8860145125fffff,886014584dfffff,10,1
8860145125fffff,886014585dfffff,1,1
8860145125fffff,8860145861fffff,2,1
8860145125fffff,8860145863fffff,13,1
8860145125fffff,8860145869fffff,19,1
8860145125fffff,8860145869fffff,21,1
8860145125fffff,8860145869fffff,23,1
8860145125fffff,886014586bfffff,21,1
8860145125fffff,88601458edfffff,17,1
8860145125fffff,8860145903fffff,4,1
8860145125fffff,8860145903fffff,15,1
8860145125fffff,8860145903fffff,21,1
8860145125fffff,8860145909fffff,22,1
8860145125fffff,8860145923fffff,5,1
8860145125fffff,8860145923fffff,13,1
8860145125fffff,8860145923fffff,21,1
8860145125fffff,8860145925fffff,13,1
8860145125fffff,8860145925fffff,17,1
8860145125fffff,886014593bfffff,21,1
8860145125fffff,8860145941fffff,0,1
8860145125fffff,8860145941fffff,12,1
8860145125fffff,886014594bfffff,20,1
8860145125fffff,8860145953fffff,4,1
8860145125fffff,8860145957fffff,13,1
8860145125fffff,8860145957fffff,17,1
8860145125fffff,8860145957fffff,18,1
8860145125fffff,8860145957fffff,20,1
8860145125fffff,8860145957fffff,22,1
8860145125fffff,8860145963fffff,7,1
8860145125fffff,8860145963fffff,8,1
8860145125fffff,8860145963fffff,15,1
8860145125fffff,886014596dfffff,14,1
8860145125fffff,88601459c5fffff,7,1
8860145125fffff,88601459c5fffff,18,1
8860145125fffff,88601459c5fffff,22,1
8860145125fffff,88601459c5fffff,23,1
8860145125fffff,88601459c9fffff,11,1
8860145125fffff,88601459d5fffff,5,1
8860145125fffff,88601459e3fffff,4,1
8860145125fffff,88601459e3fffff,15,1
8860145125fffff,88601459e3fffff,22,1
8860145125fffff,88601459e9fffff,6,2
8860145125fffff,88601459e9fffff,21,1
8860145125fffff,8860145a03fffff,2,1
8860145125fffff,8860145a03fffff,11,1
8860145125fffff,8860145a03fffff,17,2
8860145125fffff,8860145a03fffff,18,1
8860145125fffff,8860145a03fffff,19,1
8860145125fffff,8860145a05fffff,6,1
8860145125fffff,8860145a09fffff,1,1
8860145125fffff,8860145a09fffff,10,1
8860145125fffff,8860145a0dfffff,4,1
8860145125fffff,8860145a0dfffff,12,1
8860145125fffff,8860145a0dfffff,21,1
8860145125fffff,8860145a23fffff,5,1
8860145125fffff,8860145a23fffff,9,1
8860145125fffff,8860145a23fffff,12,1
8860145125fffff,8860145a25fffff,2,1
8860145125fffff,8860145a25fffff,11,1
8860145125fffff,8860145a27fffff,6,1
8860145125fffff,8860145a27fffff,15,1
8860145125fffff,8860145a27fffff,16,1
8860145125fffff,8860145a29fffff,5,1
8860145125fffff,8860145a29fffff,22,1
8860145125fffff,8860145a2bfffff,9,1
8860145125fffff,8860145a2bfffff,18,1
8860145125fffff,8860145a2dfffff,22,1
8860145125fffff,8860145a31fffff,9,1
