park_id,park_name,area_sqkm,lat,lon,amenities_available,h3_index,index_right,ward_id
kmlpark_1,,0.06324,13.110557,77.580365,,8860169629fffff,,ward_198
kmlpark_2,,0.04711,13.099303,77.574431,,8860169601fffff,,ward_198
kmlpark_3,,0.04525,13.099846,77.575161,,8860169601fffff,,ward_198
kmlpark_4,,0.06374,13.10018,77.576137,,8860169601fffff,,ward_198
kmlpark_5,,0.06816,13.099616,77.572693,,8860169601fffff,,ward_198
kmlpark_6,,0.08132,13.099512,77.571792,,8860169601fffff,,ward_198
kmlpark_7,,0.00154,13.100473,77.572092,,8860169601fffff,,ward_198
kmlpark_8,,0.06098,13.098623,77.572039,,8860169601fffff,,ward_198
kmlpark_9,,0.05761,13.103244,77.572402,,8860169607fffff,,ward_198
kmlpark_10,,0.09751,13.103175,77.57459,,8860169607fffff,,ward_198
kmlpark_11,,0.0254,13.102118,77.573854,,8860169601fffff,,ward_198
kmlpark_12,,0.05847,13.104862,77.575418,,8860169607fffff,,ward_198
kmlpark_13,,0.0163,13.101273,77.57265,,8860169601fffff,,ward_198
kmlpark_14,,0.05086,13.102049,77.576165,,8860169601fffff,,ward_198
kmlpark_15,,0.08852,13.105746,77.57104,,8860169607fffff,,ward_198
kmlpark_16,,0.08754,13.109046,77.579178,,8860169605fffff,,ward_198
kmlpark_17,,0.06536,13.108679,77.580148,,8860169605fffff,,ward_198
kmlpark_18,,0.08356,13.102163,77.585446,,886016960dfffff,,ward_198
kmlpark_19,,0.01968,13.102907,77.576343,,8860169605fffff,,ward_198
kmlpark_20,,0.02539,13.095326,77.571271,,886016960bfffff,197.0,ward_198
kmlpark_21,,0.02725,13.106905,77.572304,,8860169607fffff,,ward_198
kmlpark_22,,0.04995,13.103529,77.571021,,8860169607fffff,,ward_198
kmlpark_23,,0.06664,13.105805,77.57558,,8860169607fffff,,ward_198
kmlpark_24,,0.07723,13.106896,77.573146,,8860169607fffff,,ward_198
kmlpark_25,,0.01686,13.105807,77.576335,,8860169605fffff,,ward_198
kmlpark_26,,0.0607,13.106244,77.577526,,8860169605fffff,,ward_198
kmlpark_27,,0.00219,13.106783,77.574121,,8860169607fffff,,ward_198
kmlpark_28,,0.03424,13.106465,77.574198,,8860169607fffff,,ward_198
kmlpark_29,,0.08287,13.105107,77.574858,,8860169607fffff,,ward_198
kmlpark_30,,0.01697,13.102848,77.571879,,8860169607fffff,,ward_198
kmlpark_31,,0.06164,13.106598,77.575947,,8860169605fffff,,ward_198
kmlpark_32,,0.07334,13.093722,77.582285,,8860169609fffff,197.0,ward_198
kmlpark_33,,0.04973,13.083063,77.587478,,8860169643fffff,197.0,ward_198
kmlpark_34,,0.0771,13.096081,77.578142,,8860169601fffff,197.0,ward_198
kmlpark_35,,0.06009,13.097427,77.586505,,886016960dfffff,197.0,ward_198
kmlpark_36,,0.06297,13.095818,77.581634,,886016960dfffff,197.0,ward_198
kmlpark_37,,0.05257,13.095515,77.586215,,886016960dfffff,197.0,ward_198
