h3_id,ward_id,population_h3,population_density_h3,household_count_h3,avg_household_size_h3,h3_area_km2
8801518913fffff,ward_1,34783.0,27711.246536177696,8695.75,4.0,1.2551943469807452
88015189e3fffff,ward_4,30193.023453130034,14037.44586823378,7548.2558632825085,4.0,2.1508915323018787
88015189a9fffff,ward_4,11792.976546869966,14037.44586823378,2948.2441367174915,4.0,0.8401084255332399
880151891bfffff,ward_5,52025.0,89167.83218302108,13006.25,4.0,0.583450317522762
88015189e9fffff,ward_7,59122.92477010207,47795.655218637476,14780.731192525518,4.0,1.236993707893508
88015189a1fffff,ward_7,13031.075229897937,47795.655218637476,3257.768807474484,4.0,0.27264141835253236
88015189ebfffff,ward_10,36396.0,41870.6500846458,9099.0,4.0,0.8692485052518116
88015189c5fffff,ward_11,37128.0,37537.50315373537,9282.0,4.0,0.9890908259918555
8801518825fffff,ward_18,35122.0,65352.650858930225,8780.5,4.0,0.5374227294285905
88015189a3fffff,ward_21,11863.029956019915,9685.649203439487,2965.7574890049787,4.0,1.2248048330933992
88015189abfffff,ward_21,20652.970043980084,9685.649203439487,5163.242510995021,4.0,2.132326869390022
8801518953fffff,ward_22,51592.0,60952.18880806241,12898.0,4.0,0.8464339182709661
8801518985fffff,ward_24,58967.0,60273.32999866152,14741.75,4.0,0.9783265666806442
88015189cdfffff,ward_25,95368.0,72385.55358306052,23842.0,4.0,1.317500458023958
8801518919fffff,ward_27,51268.0,213732.38472601917,12817.0,4.0,0.23987006024248406
8801518911fffff,ward_31,41936.0,27972.202264542037,10484.0,4.0,1.499202658532134
880151898dfffff,ward_32,39334.0,48556.759419933354,9833.5,4.0,0.8100622955462868
88015189e1fffff,ward_39,24472.69797021017,15599.150437245751,6118.174492552543,4.0,1.56884812853508
8801518917fffff,ward_39,34816.302029789826,15599.150437245753,8704.075507447456,4.0,2.231935782006416
880151895bfffff,ward_43,51200.0,151027.75910479674,12800.0,4.0,0.33901052563769285
8801511349fffff,ward_44,40212.0,30165.703135163483,10053.0,4.0,1.333037052702603
88015189e7fffff,ward_45,34196.0,38034.80202839116,8549.0,4.0,0.8990713287918345
8801518959fffff,ward_50,49094.0,148180.24352021818,12273.5,4.0,0.3313127231654297
880151882dfffff,ward_51,46159.0,78687.38551870114,11539.75,4.0,0.5866124499590812
8801518865fffff,ward_53,48585.0,62734.303966668034,12146.25,4.0,0.7744566676919563
8801518b33fffff,ward_54,50191.0,64616.17962647562,12547.75,4.0,0.7767559191852145
8801518827fffff,ward_62,34394.0,59792.08969448211,8598.5,4.0,0.5752265922757009
8801518951fffff,ward_65,35609.0,124255.76710820894,8902.25,4.0,0.28657824766386636
8801511343fffff,ward_69,57077.0,67923.82134682621,14269.25,4.0,0.840309023671663
88015189c7fffff,ward_72,62272.0,244373.2647729835,15568.0,4.0,0.25482329279288835
8801518867fffff,ward_73,68922.0,102656.51064239656,17230.5,4.0,0.6713845967362893
88015189a7fffff,ward_75,48734.0,97398.31332034862,12183.5,4.0,0.5003577406901399
88015189bdfffff,ward_77,33388.0,26365.201312087447,8347.0,4.0,1.2663662076683202
8801518b3bfffff,ward_79,37291.0,44576.88402279149,9322.75,4.0,0.8365546587090671
8801511341fffff,ward_80,35228.0,28142.335395241073,8807.0,4.0,1.25177955223848
880151886dfffff,ward_83,43942.0,46697.318470423794,10985.5,4.0,0.940996216470783
88015189adfffff,ward_88,38251.0,113870.63856501051,9562.75,4.0,0.3359162685134317
8801518821fffff,ward_91,32689.0,36771.394905000496,8172.25,4.0,0.8889790578914009
88015189c1fffff,ward_93,22815.0,17636.064681841406,5703.75,4.0,1.2936559494188618
8801518987fffff,ward_95,37693.0,110046.37234927216,9423.25,4.0,0.34251924161904734
88015189edfffff,ward_98,21960.30708870741,12626.669155887368,5490.0767721768525,4.0,1.739200324138381
88015189e5fffff,ward_98,10952.692911292592,12626.669155887368,2738.173227823148,4.0,0.8674253499534942
880151891dfffff,ward_100,30333.0,41692.0229110519,7583.25,4.0,0.7275492500019518
