ward_id,population_total,household_count,avg_household_size,population_from_h3,households_from_h3
ward_1,34783.0,8695.75,4.0,34783.0,8695.75
ward_2,36602.0,9150.5,4.0,0.0,0.0
ward_3,58129.0,14532.25,4.0,0.0,0.0
ward_4,41986.0,10496.5,4.0,41986.0,10496.5
ward_5,52025.0,13006.25,4.0,52025.0,13006.25
ward_6,71855.0,17963.75,4.0,0.0,0.0
ward_7,72154.0,18038.5,4.0,72154.00000000001,18038.500000000004
ward_8,47546.0,11886.5,4.0,0.0,0.0
ward_9,57195.0,14298.75,4.0,0.0,0.0
ward_10,36396.0,9099.0,4.0,36396.0,9099.0
ward_11,37128.0,9282.0,4.0,37128.0,9282.0
ward_12,61071.0,15267.75,4.0,0.0,0.0
ward_13,41482.0,10370.5,4.0,0.0,0.0
ward_14,65113.0,16278.25,4.0,0.0,0.0
ward_15,33042.0,8260.5,4.0,0.0,0.0
ward_16,37959.0,9489.75,4.0,0.0,0.0
ward_17,49610.0,12402.5,4.0,0.0,0.0
ward_18,35122.0,8780.5,4.0,35122.0,8780.5
ward_19,32491.0,8122.75,4.0,0.0,0.0
ward_20,27361.0,6840.25,4.0,0.0,0.0
ward_21,32516.0,8129.0,4.0,32516.0,8129.0
ward_22,51592.0,12898.0,4.0,51592.0,12898.0
ward_23,60483.0,15120.75,4.0,0.0,0.0
ward_24,58967.0,14741.75,4.0,58967.0,14741.75
ward_25,95368.0,23842.0,4.0,95368.0,23842.0
ward_26,47358.0,11839.5,4.0,0.0,0.0
ward_27,51268.0,12817.0,4.0,51268.0,12817.0
ward_28,47074.0,11768.5,4.0,0.0,0.0
ward_29,33588.0,8397.0,4.0,0.0,0.0
ward_30,45748.0,11437.0,4.0,0.0,0.0
ward_31,41936.0,10484.0,4.0,41936.0,10484.0
ward_32,39334.0,9833.5,4.0,39334.0,9833.5
ward_33,47926.0,11981.5,4.0,0.0,0.0
ward_34,24308.0,6077.0,4.0,0.0,0.0
ward_35,36738.0,9184.5,4.0,0.0,0.0
ward_36,37036.0,9259.0,4.0,0.0,0.0
ward_37,41107.0,10276.75,4.0,0.0,0.0
ward_38,36879.0,9219.75,4.0,0.0,0.0
ward_39,59289.0,14822.25,4.0,59289.0,14822.25
ward_40,72794.0,18198.5,4.0,0.0,0.0
ward_41,57814.0,14453.5,4.0,0.0,0.0
ward_42,41352.0,10338.0,4.0,0.0,0.0
ward_43,51200.0,12800.0,4.0,51200.0,12800.0
ward_44,40212.0,10053.0,4.0,40212.0,10053.0
ward_45,34196.0,8549.0,4.0,34196.0,8549.0
ward_46,31449.0,7862.25,4.0,0.0,0.0
ward_47,42135.0,10533.75,4.0,0.0,0.0
ward_48,35814.0,8953.5,4.0,0.0,0.0
ward_49,37955.0,9488.75,4.0,0.0,0.0
ward_50,49094.0,12273.5,4.0,49094.0,12273.5
ward_51,46159.0,11539.75,4.0,46159.0,11539.75
ward_52,35168.0,8792.0,4.0,0.0,0.0
ward_53,48585.0,12146.25,4.0,48585.0,12146.25
ward_54,50191.0,12547.75,4.0,50191.0,12547.75
ward_55,33946.0,8486.5,4.0,0.0,0.0
ward_56,43443.0,10860.75,4.0,0.0,0.0
ward_57,58815.0,14703.75,4.0,0.0,0.0
ward_58,43983.0,10995.75,4.0,0.0,0.0
ward_59,40362.0,10090.5,4.0,0.0,0.0
ward_60,35334.0,8833.5,4.0,0.0,0.0
ward_61,38050.0,9512.5,4.0,0.0,0.0
ward_62,34394.0,8598.5,4.0,34394.0,8598.5
ward_63,21728.0,5432.0,4.0,0.0,0.0
ward_64,31118.0,7779.5,4.0,0.0,0.0
ward_65,35609.0,8902.25,4.0,35609.0,8902.25
ward_66,35709.0,8927.25,4.0,0.0,0.0
ward_67,34574.0,8643.5,4.0,0.0,0.0
ward_68,44615.0,11153.75,4.0,0.0,0.0
ward_69,57077.0,14269.25,4.0,57077.0,14269.25
ward_70,61479.0,15369.75,4.0,0.0,0.0
ward_71,66314.0,16578.5,4.0,0.0,0.0
ward_72,62272.0,15568.0,4.0,62272.0,15568.0
ward_73,68922.0,17230.5,4.0,68922.0,17230.5
ward_74,43844.0,10961.0,4.0,0.0,0.0
ward_75,48734.0,12183.5,4.0,48734.0,12183.5
ward_76,33236.0,8309.0,4.0,0.0,0.0
