school_id,school_name,school_type,students,lat,lon,h3_index,index_right,ward_id
college_kml_1,,college,1093,12.82875,77.5888833,886189269dfffff,,ward_192
college_kml_2,,college,400,12.8614833,77.664725,8861892621fffff,,ward_185
college_kml_3,,college,744,13.1676139,77.5585667,8860169429fffff,,ward_198
college_kml_4,,college,1742,12.8101806,77.6942611,88618934a5fffff,,ward_185
college_kml_5,,college,2930,12.8998,77.4959278,8860145131fffff,,ward_189
college_kml_6,,college,703,13.0883139,77.6367889,8861892d89fffff,,ward_191
college_kml_7,,college,1170,12.8792472,77.5448667,8861892493fffff,,ward_163
college_kml_8,,college,2705,12.8509028,77.5946639,88618926bdfffff,,ward_192
college_kml_9,,college,2568,12.92965,77.6224667,88618925c5fffff,119.0,ward_120
college_kml_10,,college,654,13.151276,77.60995,8860169701fffff,,ward_198
college_kml_11,,college,2159,13.0311222,77.5651639,8860145941fffff,38.0,ward_39
college_kml_12,,college,2748,12.9022389,77.5186028,8860145129fffff,158.0,ward_159
college_kml_13,,college,1813,12.9796139,77.550075,8860145b1bfffff,25.0,ward_26
college_kml_14,,college,2219,13.1339333,77.5681833,886016944dfffff,,ward_198
college_kml_15,,college,1391,12.9552,77.5741278,88618925b3fffff,10.0,ward_11
college_kml_16,,college,451,12.8562611,77.4552639,88601451d9fffff,,ward_189
college_kml_17,,college,784,13.2034333,77.6224444,8860169095fffff,,ward_198
college_kml_18,,college,2726,12.87925,77.5448722,8861892493fffff,,ward_163
college_kml_19,,college,2262,12.933925,77.6925028,8861892093fffff,,ward_190
college_kml_20,,college,1150,12.9771278,77.6800028,8861892e57fffff,181.0,ward_182
college_kml_21,,college,975,12.9015,77.6312667,886189242bfffff,167.0,ward_168
college_kml_22,,college,846,13.0711139,77.5103444,88601696dbfffff,195.0,ward_196
college_kml_23,,college,2336,13.1596389,77.6361833,886016976dfffff,,ward_198
college_kml_24,,college,404,13.1726667,77.62025,886016972dfffff,,ward_198
college_kml_25,,college,1504,13.0498083,77.7162611,8861892f07fffff,,ward_188
college_kml_26,,college,349,12.9343611,77.5343444,8860145a1dfffff,111.0,ward_112
college_kml_27,,college,2154,12.9029056,77.504525,886014513dfffff,,ward_189
college_kml_28,,college,2926,12.9085028,77.5662417,88618924a3fffff,134.0,ward_135
college_kml_29,,college,1871,13.08415,77.4820778,8860144b4dfffff,,ward_195
college_kml_30,,college,2573,13.01255,77.70425,8861892e2dfffff,,ward_197
college_kml_31,,college,2268,12.8847917,77.6991972,886189270dfffff,,ward_186
college_kml_32,,college,1439,13.0746806,77.49955,88601696d3fffff,,ward_195
college_kml_33,,college,1325,13.0894806,77.5457944,8860169613fffff,,ward_184
college_kml_34,,college,2761,12.8823667,77.5472306,8861892491fffff,,ward_163
college_kml_35,,college,2923,12.9423,77.5666528,8860145a69fffff,24.0,ward_25
college_kml_36,,college,2753,12.976475,77.5873667,8860145b41fffff,3.0,ward_4
college_kml_37,,college,1903,13.1154778,77.6357083,8861892dabfffff,,ward_191
college_kml_38,,college,882,12.9233194,77.4993889,8860145ac1fffff,188.0,ward_189
college_kml_39,,college,1032,12.9756972,77.5856611,8860145b4bfffff,3.0,ward_4
college_kml_40,,college,2226,13.0517639,77.5228222,886014593bfffff,175.0,ward_176
college_kml_41,,college,1314,13.0157722,77.5483389,8860145959fffff,49.0,ward_50
college_kml_42,,college,2818,13.0249889,77.5136111,8860145827fffff,157.0,ward_158
college_kml_43,,college,2576,12.8995056,77.5993667,88618924edfffff,155.0,ward_156
college_kml_44,,college,1475,12.9079472,77.7150639,88618920dbfffff,,ward_190
college_kml_45,,college,1059,13.0585,77.4719444,88601459b1fffff,,ward_195
college_kml_46,,college,2627,12.98025,77.5056111,8860145857fffff,139.0,ward_140
college_kml_47,,college,360,12.7856722,77.4965361,8860145215fffff,,ward_169
college_kml_48,,college,2029,12.9840361,77.7618278,88618921c7fffff,,ward_197
college_kml_49,,college,2769,12.9267583,77.5265306,8860145a19fffff,135.0,ward_136
college_kml_50,,college,895,13.0769333,77.6658944,8861892c27fffff,,ward_193
college_kml_51,,college,1198,12.8811889,77.4443,886014519dfffff,,ward_189
college_kml_52,,college,2295,12.8111611,77.7101,88618935d1fffff,,ward_186
college_kml_53,,college,420,12.9422306,77.5661111,8860145a69fffff,24.0,ward_25
college_kml_54,,college,2720,13.0337556,77.5910222,8861892c9dfffff,89.0,ward_90
college_kml_55,,college,2087,13.0084944,77.7148361,8861892e65fffff,,ward_197
college_kml_56,,college,1181,12.923425,77.49945,8860145ac1fffff,188.0,ward_189
college_kml_57,,college,1011,12.9248056,77.5558528,8860145a41fffff,90.0,ward_91
college_kml_58,,college,1003,12.888216,77.5507,8861892497fffff,162.0,ward_163
college_kml_59,,college,2662,13.084014,77.484769,8860144b4dfffff,,ward_195
college_kml_60,,college,1519,12.9767778,77.5870972,8860145b41fffff,3.0,ward_4
college_kml_61,,college,2505,13.1284639,77.5873083,8860169625fffff,,ward_198
college_kml_62,,college,1573,13.1138528,77.6347139,8861892dabfffff,,ward_191
college_kml_63,,college,1837,12.975975,77.4824556,88601458cdfffff,182.0,ward_183
college_kml_64,,college,2274,13.0677083,77.5046722,88601696dbfffff,,ward_195
college_kml_65,,college,2795,12.8734,77.5953556,88618924cdfffff,191.0,ward_192
college_kml_66,,college,2544,13.0577833,77.5755583,886014596dfffff,141.0,ward_142
college_kml_67,,college,2910,13.0497972,77.7162806,8861892f07fffff,,ward_188
college_kml_68,,college,2694,13.1246833,77.6204389,886016974bfffff,,ward_198
college_kml_69,,college,1206,13.0335722,77.5971111,8861892cd7fffff,112.0,ward_113
college_kml_70,,college,2732,12.9278556,77.5807028,886189259bfffff,92.0,ward_93
