origin_h3,destination_h3,time_of_day,od_flow
h3_0,h3_0,0,242
h3_0,h3_0,1,232
h3_0,h3_0,2,252
h3_0,h3_0,3,201
h3_0,h3_0,4,230
h3_0,h3_0,5,239
h3_0,h3_0,6,216
h3_0,h3_0,7,251
h3_0,h3_0,8,215
h3_0,h3_0,9,238
h3_0,h3_0,10,258
h3_0,h3_0,11,232
h3_0,h3_0,12,227
h3_0,h3_0,13,220
h3_0,h3_0,14,233
h3_0,h3_0,15,208
h3_0,h3_0,16,217
h3_0,h3_0,17,256
h3_0,h3_0,18,242
h3_0,h3_0,19,242
h3_0,h3_0,20,241
h3_0,h3_0,21,222
h3_0,h3_0,22,235
h3_0,h3_0,23,224
h3_0,h3_1,0,222
h3_0,h3_1,1,256
h3_0,h3_1,2,249
h3_0,h3_1,3,225
h3_0,h3_1,4,226
h3_0,h3_1,5,205
h3_0,h3_1,6,214
h3_0,h3_1,7,235
h3_0,h3_1,8,230
h3_0,h3_1,9,227
h3_0,h3_1,10,236
h3_0,h3_1,11,239
h3_0,h3_1,12,235
h3_0,h3_1,13,236
h3_0,h3_1,14,227
h3_0,h3_1,15,235
h3_0,h3_1,16,236
h3_0,h3_1,17,237
h3_0,h3_1,18,234
h3_0,h3_1,19,234
h3_0,h3_1,20,214
h3_0,h3_1,21,245
h3_0,h3_1,22,239
h3_0,h3_1,23,232
h3_0,h3_2,0,224
h3_0,h3_2,1,217
h3_0,h3_2,2,227
h3_0,h3_2,3,214
h3_0,h3_2,4,238
h3_0,h3_2,5,263
h3_0,h3_2,6,240
h3_0,h3_2,7,214
h3_0,h3_2,8,246
h3_0,h3_2,9,212
h3_0,h3_2,10,252
h3_0,h3_2,11,232
h3_0,h3_2,12,220
h3_0,h3_2,13,250
h3_0,h3_2,14,213
h3_0,h3_2,15,241
h3_0,h3_2,16,251
h3_0,h3_2,17,227
h3_0,h3_2,18,242
h3_0,h3_2,19,231
h3_0,h3_2,20,245
h3_0,h3_2,21,240
h3_0,h3_2,22,233
h3_0,h3_2,23,210
h3_1,h3_0,0,220
h3_1,h3_0,1,220
h3_1,h3_0,2,233
h3_1,h3_0,3,228
h3_1,h3_0,4,225
h3_1,h3_0,5,241
h3_1,h3_0,6,213
h3_1,h3_0,7,177
h3_1,h3_0,8,224
h3_1,h3_0,9,247
h3_1,h3_0,10,235
h3_1,h3_0,11,223
h3_1,h3_0,12,245
h3_1,h3_0,13,225
h3_1,h3_0,14,229
h3_1,h3_0,15,226
h3_1,h3_0,16,213
h3_1,h3_0,17,215
h3_1,h3_0,18,209
h3_1,h3_0,19,232
h3_1,h3_0,20,214
h3_1,h3_0,21,266
h3_1,h3_0,22,205
h3_1,h3_0,23,228
h3_1,h3_1,0,230
h3_1,h3_1,1,209
h3_1,h3_1,2,247
h3_1,h3_1,3,205
h3_1,h3_1,4,253
h3_1,h3_1,5,216
h3_1,h3_1,6,209
h3_1,h3_1,7,245
h3_1,h3_1,8,200
h3_1,h3_1,9,225
h3_1,h3_1,10,188
h3_1,h3_1,11,241
h3_1,h3_1,12,204
h3_1,h3_1,13,231
h3_1,h3_1,14,227
h3_1,h3_1,15,232
h3_1,h3_1,16,207
h3_1,h3_1,17,250
h3_1,h3_1,18,270
h3_1,h3_1,19,253
h3_1,h3_1,20,229
h3_1,h3_1,21,252
h3_1,h3_1,22,207
h3_1,h3_1,23,226
h3_1,h3_2,0,246
h3_1,h3_2,1,212
h3_1,h3_2,2,211
h3_1,h3_2,3,242
h3_1,h3_2,4,232
h3_1,h3_2,5,231
h3_1,h3_2,6,254
h3_1,h3_2,7,224
h3_1,h3_2,8,232
h3_1,h3_2,9,241
h3_1,h3_2,10,229
h3_1,h3_2,11,249
h3_1,h3_2,12,242
h3_1,h3_2,13,217
h3_1,h3_2,14,202
h3_1,h3_2,15,220
h3_1,h3_2,16,208
h3_1,h3_2,17,249
h3_1,h3_2,18,252
h3_1,h3_2,19,203
h3_1,h3_2,20,239
h3_1,h3_2,21,231
h3_1,h3_2,22,216
h3_1,h3_2,23,235
h3_2,h3_0,0,217
h3_2,h3_0,1,235
h3_2,h3_0,2,223
h3_2,h3_0,3,233
h3_2,h3_0,4,246
h3_2,h3_0,5,253
h3_2,h3_0,6,238
h3_2,h3_0,7,256
h3_2,h3_0,8,223
h3_2,h3_0,9,249
h3_2,h3_0,10,248
h3_2,h3_0,11,248
h3_2,h3_0,12,245
h3_2,h3_0,13,223
h3_2,h3_0,14,245
h3_2,h3_0,15,225
h3_2,h3_0,16,213
h3_2,h3_0,17,213
h3_2,h3_0,18,200
h3_2,h3_0,19,233
h3_2,h3_0,20,230
h3_2,h3_0,21,267
h3_2,h3_0,22,255
h3_2,h3_0,23,230
h3_2,h3_1,0,226
h3_2,h3_1,1,253
h3_2,h3_1,2,237
h3_2,h3_1,3,199
h3_2,h3_1,4,233
h3_2,h3_1,5,225
h3_2,h3_1,6,243
h3_2,h3_1,7,271
h3_2,h3_1,8,267
h3_2,h3_1,9,225
h3_2,h3_1,10,228
h3_2,h3_1,11,226
h3_2,h3_1,12,230
h3_2,h3_1,13,252
h3_2,h3_1,14,238
h3_2,h3_1,15,250
h3_2,h3_1,16,229
h3_2,h3_1,17,234
h3_2,h3_1,18,209
h3_2,h3_1,19,222
h3_2,h3_1,20,230
h3_2,h3_1,21,254
h3_2,h3_1,22,230
h3_2,h3_1,23,217
h3_2,h3_2,0,233
h3_2,h3_2,1,238
h3_2,h3_2,2,240
h3_2,h3_2,3,267
h3_2,h3_2,4,218
h3_2,h3_2,5,239
h3_2,h3_2,6,237
h3_2,h3_2,7,225
h3_2,h3_2,8,234
h3_2,h3_2,9,242
h3_2,h3_2,10,239
h3_2,h3_2,11,254
h3_2,h3_2,12,221
h3_2,h3_2,13,247
h3_2,h3_2,14,230
h3_2,h3_2,15,203
h3_2,h3_2,16,234
h3_2,h3_2,17,215
h3_2,h3_2,18,233
h3_2,h3_2,19,261
h3_2,h3_2,20,243
h3_2,h3_2,21,253
h3_2,h3_2,22,220
h3_2,h3_2,23,209
