Ward Num,Ward Name,Population,Male,Female,SC Population,SC male,SC Female,ST Population,ST Male,ST Female,Assembly constituency
1,Kempegowda Ward,34783,18197,16586,2816,1430,1386,1097,549,548,150-YELAHANKA
2,Chowdeswari Ward,36602,19060,17542,3941,1998,1943,810,404,406,150-YELAHANKA
3,Atturu,58129,30799,27330,6480,3359,3121,1859,963,896,150-YELAHANKA
4,Yelahanka Satellite Town,41986,21799,20187,6319,3199,3120,1065,549,516,150-YELAHANKA
5,Jakkuru,52025,27269,24756,6423,3216,3207,973,490,483,152-BYATARAYANAPURA
6,Thanisandra,71855,37680,34175,6894,3483,3411,1540,820,720,152-BYATARAYANAPURA
7,Byatarayanapura,72154,37923,34231,6152,3141,3011,2959,1562,1397,152-BYATARAYANAPURA
8,Kodigehalli,47546,24954,22592,4789,2467,2322,1026,535,491,152-BYATARAYANAPURA
9,Vidyaranyapura,57195,29382,27813,4913,2507,2406,1143,592,551,152-BYATARAYANAPURA
10,Dodda Bommasandra,36396,20076,16320,3669,1877,1792,660,328,332,152-BYATARAYANAPURA
11,Kuvempu Nagar,37128,18962,18166,10314,5132,5182,1099,559,540,152-BYATARAYANAPURA
12,Shettihalli,61071,32175,28896,10377,5290,5087,1624,842,782,155-DASARAHALLI
13,Mallasandra,41482,21976,19506,4441,2281,2160,917,488,429,155-DASARAHALLI
14,Bagalakunte,65113,34008,31105,3708,1903,1805,1971,994,977,155-DASARAHALLI
15,T Dasarahalli,33042,17783,15259,2365,1238,1127,650,347,303,155-DASARAHALLI
16,Jalahalli,37959,20285,17674,9010,4482,4528,1416,730,686,154-RAJARAJESHWARI NAGAR
17,J P Park,49610,25404,24206,4515,2373,2142,1286,659,627,154-RAJARAJESHWARI NAGAR
18,Radhakrishna Temple Ward,35122,18075,17047,3883,1985,1898,741,389,352,158-HEBBAL
19,Sanjaya Nagar,32491,16697,15794,1754,886,868,477,250,227,158-HEBBAL
20,Ganga Nagar,27361,13973,13388,3773,1868,1905,501,258,243,158-HEBBAL
21,Hebbala,32516,16791,15725,4294,2214,2080,765,395,370,158-HEBBAL
22,Vishwanath Nagenahalli,51592,26928,24664,4145,2119,2026,667,346,321,158-HEBBAL
23,Nagavara,60483,30930,29553,6567,3268,3299,574,299,275,160-SARVARGNA NAGAR
24,HBR Layout,58967,30219,28748,7435,3774,3661,1313,683,630,160-SARVARGNA NAGAR
25,Horamavu,95368,49512,45856,12171,6180,5991,1699,918,781,151-K.R.PURA
26,Ramamurthy Nagar,47358,24328,23030,6691,3355,3336,1033,526,507,151-K.R.PURA
27,Banasavadi,51268,25932,25336,6116,3133,2983,907,468,439,160-SARVARGNA NAGAR
28,Kammanahalli,47074,23710,23364,7287,3680,3607,926,473,453,160-SARVARGNA NAGAR
29,Kacharkanahalli,33588,16820,16768,3100,1615,1485,429,209,220,160-SARVARGNA NAGAR
30,Kadugondanahalli,45748,23145,22603,5410,2683,2727,1418,720,698,160-SARVARGNA NAGAR
31,Kushal Nagar,41936,21320,20616,5327,2664,2663,582,299,283,159-PULAKESHI NAGAR (SC)
32,Kaval Bairasandra,39334,19877,19457,4621,2330,2291,709,358,351,159-PULAKESHI NAGAR (SC)
33,Manorayanapalya,47926,24755,23171,1932,990,942,546,281,265,158-HEBBAL
34,Gangenahalli,24308,12417,11891,2988,1509,1479,339,170,169,158-HEBBAL
35,Aramane Nagara,36738,19369,17369,3429,1779,1650,657,338,319,157-MALLESWARAM
36,Mattikere,37036,19134,17902,4769,2389,2380,763,392,371,157-MALLESWARAM
37,Yeshwanthpura,41107,21293,19814,4031,2014,2017,577,294,283,154-RAJARAJESHWARI NAGAR
