Parameter,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19 ,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
Depots,39,39,40,40,43,44,45,45,45,45,49,49,50
Schedules Operated,6139,6473,6244,6216,6219,6143,6190,6159,5313,5484,5557,5605,5871
Vehicles Held,6431,6775,6522,6401,6161,6677,6521,6690,6521,6812,6688,6102,6872
"Effective Km.Per day (Lakh)",12.71,13.14,12.9,12.21,11.52,11.42,11.38,11.12,5.88,6.81,10.09,10.86,11.34
"Total Servicekm (Lakh km)",4638.38,4795.9,4708.56,4469.82,4205.2,4164.53,4152.85,4065.51,2147.48,2484.23,3681.93,3992.43,4140.74
"Veh. Utilisation(Km)",221.1,218.2,214.5,208.5,206.5,203.8,202.6,200.4,161.9,171,186.1,203.9,206.7
Passengers carried per day (Lakh),48.46,50.25,51.3,50.74,45.34,44.37,35,33.1,12.79,,,,
"Passenger loadfactor ()",68.5,67.2,75.8,74.2,68.8,66.8,71.4,67.7,57.8,,,,
Schedules Added,,,,,,296,171,0,0,234,10,48,266
Schedules Curtailed,,,,,,364,124,31,846,0,0,0,0
New Vehicles Added,,,,,,1406,290,361,0,565+30EV,238+240EV,20+325EV,820+774EV
Vehicles Scrapped,,,,,,880,440,190,168,317,469+115,748+183,709
%age Cancellation,,,,,,14.9,12.2,10.6,5.9,7.3,2.7,1.8,1.8
Fleet Utilization (%),,,,,,87.5,84.1,85.1,55,60.4,79.8,83.9,85.9
KMPL (HSD),,,,,,3.74,3.74,3.75,4.29,4.27,4.04,3.91,3.75
No of Breakdowns,,,,,,2024,1243,1284,268,52,36,53,645
Rate of breakdows/10000 kms,,,,,,0.05,0.03,0.03,0.01,0,0,0,0.02
No of accidents,,,,,,293,283,224,98,133,207,207,199
Rate of accidents/lakh kms,,,,,,0.07,0.07,0.06,0.05,0.05,0.06,0.06,0.06
Staff position,,,,,,34114,33878,33292,32308,30153,29457,28460,28059
Traffic Revenue (in Rs. Lakhs),,,,,,,183884.04,180700,69976.42,92249.14,162184.64,202420.71,203909.05
Non-Traffic Revenue:,,,,,,,,,,,,,
a. Govt Reimbursement/fin assistance,,,,,,,18875.04,18175,99939,103794.58,112369.32,40754.57,38350.12
b. Commercial Revenue,,,,,,,26570.47,13122,15390.48,15468.65,19212.4,18204.7,34567.36
Total non-traffic revenue,,,,,,,45445.51,31297,115329.48,119263.23,131581.72,58959.27,72917.48
Gross revenue (in Rs. Lakhs),,,,,,,229329.55,211997,185305.9,211512.37,293766.36,261379.98,276826.53
Cost of operation (in Rs. Lakhs),,,,,,,264278.29,266931.00,201725.88,229336.91,301504.06,318925.04,353913.02
Margin on traffic revenue(in Rs. Lakhs),,,,,,,-80394.25,-86231.00,-131749.46,-137087.77,-139319.42,-116504.33,-150003.97
Margin on gross revenue (Rs. Lakhs),,,,,,,-34948.74,-54934.00,-16419.98,-17824.54,-7737.70,-57545.06,-77086.49
EPKM on Traffic revnue (paise),,,,,,,4427.9,4444.7,3258.5,3713.4,4404.9,5070.1,4924.5
EPKM on gross revenue (paise),,,,,,,5522.2,5214.5,8629,8514.2,7978.6,6546.9,6685.4
CPKM (paise),,,,,,,6363.8,6565.7,9393.6,9231.7,8188.8,7988.3,8547.1
Margin on traffic revenue (per km in paise),,,,,,,1935.9,-2121,-6135.1,-5518.3,-3783.9,-2918.1,-3622.6
Margin on gross revenue (per km in paise),,,,,,,841.6,-1351.2,-764.6,-717.5,-210.2,-1441.4,-1861.7
