Stop Name,Latitude,Longitude,Num trips in stop,Boothcode,Routes with num trips
Baleveeranahalli,13.01860386,77.39393994,9,29150340,"{'D35G-BVRH': 1, '242-LA': 8}"
Dasegowdrapalya Nelamangala,13.02346983,77.39425714,9,29150340,"{'D35G-BVRH': 1, '242-LA': 8}"
Gayathrinagara Cross Sondekoppa,13.0147777,77.38346582,124,29150340,"{'D35G-BVRH': 1, '374-MA': 18, '221-L': 9, '242-T': 9, '242-TB': 15, '242-LA': 8, '242-L': 6, '242-TA KBS-MTK': 2, '242-TA': 4, 'D35G-MTK': 1, '245-A': 9, '242-TC': 12, '242-TB D35G-KVH': 1, '374-M': 26, '242-TC KMT-SNDKP': 1, 'D35G-SKP': 1, 'D35G-TVK-NML': 1}"
Mallasandra Sondekoppa,13.0025508,77.39414118,124,29150340,"{'D35G-BVRH': 1, '374-MA': 18, '221-L': 9, '242-T': 9, '242-TB': 15, '242-LA': 8, '242-L': 6, '242-TA KBS-MTK': 2, '242-TA': 4, 'D35G-MTK': 1, '245-A': 9, '242-TC': 12, '242-TB D35G-KVH': 1, '374-M': 26, '242-TC KMT-SNDKP': 1, 'D35G-SKP': 1, 'D35G-TVK-NML': 1}"
Nagasandrapalya Sondekoppa,13.00147977,77.37739027,0,29150340,{}
Sondekoppa,13.01881582,77.38418515,177,29150340,"{'D35G-BVRH': 1, '374-MA': 18, '221-L': 9, '374-N': 17, '242-T': 9, '242-TB': 15, '242-LA': 8, '242-L': 6, '242-TA KBS-MTK': 2, '242-TA': 4, 'D35G-MTK': 1, '377-A': 4, '377-B': 9, '245-A': 9, 'D04-SGH': 9, '242-TC': 12, '248-HA': 9, '242-TB D35G-KVH': 1, '258 JHC-TVK': 1, '258 YTTMC-TVK': 1, '374-M NMG-TVK': 1, '258-CB YBS-SDKP': 2, '374-M': 26, '242-TC KMT-SNDKP': 1, 'D35G-SKP': 1, 'D35G-TVK-NML': 1}"
Chowdeshwarinagara Tavarekere,12.99755871,77.39936578,115,29150359,"{'D35G-BVRH': 1, '374-MA': 18, '221-L': 9, '242-T': 9, '242-TB': 15, '242-LA': 8, '242-L': 6, '242-TA KBS-MTK': 2, '242-TA': 4, 'D35G-MTK': 1, '242-TC': 12, '242-TB D35G-KVH': 1, '374-M': 26, '242-TC KMT-SNDKP': 1, 'D35G-SKP': 1, 'D35G-TVK-NML': 1}"
Metipalya Tavarekere,12.99352232,77.40229765,115,29150359,"{'D35G-BVRH': 1, '374-MA': 18, '221-L': 9, '242-T': 9, '242-TB': 15, '242-LA': 8, '242-L': 6, '242-TA KBS-MTK': 2, '242-TA': 4, 'D35G-MTK': 1, '242-TC': 12, '242-TB D35G-KVH': 1, '374-M': 26, '242-TC KMT-SNDKP': 1, 'D35G-SKP': 1, 'D35G-TVK-NML': 1}"
Byregowdanahalli,13.06438794,77.39372157,164,29150316,"{'374-MA': 18, '221-L': 9, '374-N': 17, '377-A': 4, '377-B': 9, '245-A': 9, 'D04-SGH': 9, '242-TC': 12, '248-HA': 9, '258-Q': 8, '258-QA': 11, '258-U': 13, '258- KMT-LKH': 2, '374-M NMG-LKH': 1, '258-U NMG-GRNB': 1, '258 JHC-TVK': 1, '258 YTTMC-TVK': 1, '374-M NMG-TVK': 1, '258-CB YBS-SDKP': 2, '374-M': 26, 'D35G-TVK-NML': 1}"
Gerahalli Sondekoppa,13.03723898,77.39056662,91,29150316,"{'374-MA': 18, '221-L': 9, '242-T': 9, '242-TA KBS-MTK': 2, '242-TA': 4, 'D35G-MTK': 1, '245-A': 9, '242-TC': 12, '374-M': 26, 'D35G-TVK-NML': 1}"
Hulegowdanahalli Cross,13.06850825,77.39461304,75,29150316,"{'374-MA': 18, '221-L': 9, '245-A': 9, '242-TC': 12, '374-M': 26, 'D35G-TVK-NML': 1}"
Hullegowdanahalli Cross,13.05943537,77.39379264,164,29150316,"{'374-MA': 18, '221-L': 9, '374-N': 17, '377-A': 4, '377-B': 9, '245-A': 9, 'D04-SGH': 9, '242-TC': 12, '248-HA': 9, '258-Q': 8, '258-QA': 11, '258-U': 13, '258- KMT-LKH': 2, '374-M NMG-LKH': 1, '258-U NMG-GRNB': 1, '258 JHC-TVK': 1, '258 YTTMC-TVK': 1, '374-M NMG-TVK': 1, '258-CB YBS-SDKP': 2, '374-M': 26, 'D35G-TVK-NML': 1}"
Hunnigere Cross Sondekoppa,13.03917517,77.39104739,77,29150316,"{'374-MA': 18, '221-L': 9, '242-TA KBS-MTK': 2, '245-A': 9, '242-TC': 12, '374-M': 26, 'D35G-TVK-NML': 1}"
Kakkepalya Nelamangala,13.06101918,77.37999603,14,29150316,"{'258-U': 13, '258-U NMG-GRNB': 1}"
Kondappanahalli,13.06383205,77.38159731,14,29150316,"{'258-U': 13, '258-U NMG-GRNB': 1}"
