pseudocode,state,district,rural_urban,lgd_urban_local_body_name,lgd_ward_name,lgd_vill_name,lgd_vill_panchayat_name,school_category,school_type,lowclass,highclass,managment,pincode,special_school_for_cwsn,shift_school,resi_school,resi_type,minority_school,medium_instr1,medium_of_instr2,medium_of_instr3,medium_of_instr4,aff_board_sec,aff_board_hsec,approachable_road,pre_primary,anganwadi_yn,avg_instr_days,cce_yn,same_sch_b,same_sch_g,other_sch_b,other_sch_g,anganwadi_ecce_b,anganwadi_ecce_g
2946871,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.4 (Yelahanka Satellite Town)",,,2,3,1,8,1,560064,2,2,3,0,2,5,0,0,0,0,0,1,2,1,242,1,0,0,0,0,26,22
3302721,"KARNATAKA","BENGALURU U NORTH",1,,,"Kasagattapura","Kasagattapura",1,3,1,5,1,560090,2,2,3,0,2,5,19,4,0,0,0,1,2,2,250,1,0,0,0,0,1,1
6790895,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.7 (Byatarayanapura)",,,2,3,1,8,5,560057,2,2,3,0,2,19,0,0,0,0,0,1,1,9,2,1,7,13,24,22,0,0
2419623,"KARNATAKA","BENGALURU U NORTH",2,"Madanayakanahalli-Municipality","Madanayakanahalli-12",,,2,3,1,8,1,560073,2,2,3,0,2,5,19,0,0,0,0,1,2,1,245,1,0,1,0,2,23,21
2651943,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.61(SK Garden)",,,2,2,1,8,1,560045,2,2,3,0,2,18,5,19,0,0,0,1,1,2,240,1,0,17,0,0,0,0
8293095,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.96 (Okalipuram)",,,2,3,1,7,5,560023,2,2,1,4,2,19,0,0,0,0,0,1,2,9,242,1,1,2,0,0,0,0
6581248,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.98 (Prakash Nagar)",,,1,3,1,5,1,560021,2,2,3,0,2,5,0,0,0,0,0,1,2,2,240,1,0,0,0,0,0,0
6827890,"KARNATAKA","BENGALURU U NORTH",1,,,"Marenahalli","MARENAHALLI",2,3,1,8,5,562149,2,2,3,0,2,19,5,4,0,0,0,1,1,9,170,2,10,10,0,0,0,0
6437687,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No. 24 (HBR Layout)",,,6,3,1,10,5,560045,2,2,3,0,2,19,4,5,0,1,0,1,1,9,212,1,11,14,6,8,0,0
6481192,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.71(Hegganahalli)",,,6,3,1,10,5,560091,2,2,3,0,1,19,0,0,0,2,0,1,1,9,242,1,4,1,0,0,0,0
