_id,Sl. No,Zone,District,Taluk,Name of Sub-Station,Voltage Class (in kV),Date of commission
1,1,Bengaluru,Bangalore Urban,Bangalore East,Hoody,400,31-03-1995
2,2,Bengaluru,Bangalore Rural,Nelamangala,Nelamangala,400,31-03-2002
3,3,Bengaluru,Bangalore Urban,Bangalore North,AnandRao Circle,220,28-05-2010
4,4,Bengaluru,Ramanagar,Ramanagara,Bidadi,220,29-10-1998
5,5,Bengaluru,CB Pura,Chintamani,Chintamani,220,18-12-2002
6,6,Bengaluru,Bangalore Rural,DB pura,D B Pura,220,12-10-1998
7,7,Bengaluru,Bangalore Rural,Nelamangala,Dabaspet (Nelamangala),220,31-03-2009
8,8,Bengaluru,Bangalore Rural,Devanahalli,"Devanahalli  (BangaloreIA)",220,25-11-2006
9,9,Bengaluru,Bangalore Urban,Bangalore East,East DivisionCompound,220,20-12-2010
10,10,Bengaluru,Bangalore Urban,Bangalore East,"EPIP, White field (GIS)",220,10-01-2014
11,11,Bengaluru,CB Pura,Gowribidanur,Gowribidanur,220,27-03-1987
12,12,Bengaluru,Bangalore Urban,Bangalore East,HAL,220,31-08-2008
13,13,Bengaluru,Bangalore Urban,Bangalore North,Hebbal,220,02-07-1994
14,14,Bengaluru,Bangalore Urban,Bangalore East,Hoody,220,15-01-1979
15,15,Bengaluru,Bangalore Rural,Hosakote,Hosakote,220,04-04-2009
16,16,Bengaluru,Bangalore Urban,Bangalore South,HSR  Layout,220,26-01-1998
17,17,Bengaluru,Bangalore Urban,Anekal,Jigani/ Bannergatta,220,30-09-2011
18,18,Bengaluru,Ramanagar,Kanakapura,Kanakapura,220,01-01-2008
19,19,Bengaluru,Bangalore Urban,Bangalore South,Khodays glass factory,220,30-07-2015
20,20,Bengaluru,Bangalore Rural,DB pura,KIADB  (D B Pura),220,13-07-1995
21,21,Bengaluru,Kolar,Kolar,Kolar,220,21-08-2009
22,22,Bengaluru,Bengaluru Urban,Bengaluru South,Koramangala,220,Completed
23,23,Bengaluru,Ramanagar,Magadi,Magadi,220,14-02-2017
24,24,Bengaluru,Kolar,Malur,Malur,220,22-09-1999
25,25,Bengaluru,C B pura,Bagepalli,Mittemari,220,30-03-2019
26,26,Bengaluru,Bangalore Urban,Bangalore South,Naganathapura,220,29-05-2009
27,27,Bengaluru,Bangalore Urban,Bangalore South,Nimhans,220,26-02-2012
28,28,Bengaluru,Bangalore Urban,Bangalore North,NRS (220kV) Rajainagar,220,05-06-1998
29,29,Bengaluru,Bangalore Urban,Anekal,Sarjapur,220,31-03-2009
30,30,Bengaluru,Bangalore Urban,Bangalore South,Somanahalli,220,01-07-1986
31,31,Bengaluru,Bangalore Urban,Bangalore North,SRS Peenya,220,25-01-1965
32,32,Bengaluru,Bangalore Urban,Bangalore South,Subramanyapura,220,02-10-1986
33,33,Bengaluru,Bangalore Urban,Bangalore East,Vikas Technical Park,220,06-03-2017
34,34,Bengaluru,Bangalore Urban,Bangalore North,Vrushabhavathi Valley,220,04-03-2009
35,35,Bengaluru,Bangalore Urban,Anekal,Yarandanahalli,220,24-02-1999
36,36,Bengaluru,Bangalore Urban,Bangalore North,Yelahanka(DG Plant),220,28-12-2015
37,37,Bengaluru,Bangalore Urban,Bangalore North,A' Station,66,01-07-1920
38,38,Bengaluru,Bangalore Urban,Bangalore North,Abbigere,66,24-03-2011
39,39,Bengaluru,Kolar,Srinivaspur,Addagal,66,15-08-1999
40,40,Bengaluru,Bangalore Urban,Bangalore South,Adugodi,66,19-08-1964
41,41,Bengaluru,Ramanagar,Magadi,Agalakote Hulikatte,66,26-12-2007
42,42,Bengaluru,Ramanagar,Channapatna,Akkurmole,66,16-12-1994
43,43,Bengaluru,Ramanagar,Kanakapura,Allimaranahalli,66,22-11-2016
44,44,Bengaluru,Bangalore Urban,Bangalore North,Alur,66,31-08-2017
45,45,Bengaluru,Bangalore Urban,Bangalore East,Amarajyoti,66,30-03-2001
46,46,Bengaluru,Kolar,Bangarpet,Andersonpet,66,10-07-2000
47,47,Bengaluru,Bangalore Urban,Anekal,Anekal,66,28-05-2004
48,48,Bengaluru,Bangalore Urban,Bangalore South,Anjanapura,66,29-11-2008
49,49,Bengaluru,Bangalore Rural,DB pura,Apparel park,66,03-11-2010
50,50,Bengaluru,Bangalore Urban,Bangalore South,Arehalli,66,04-11-1999
51,51,Bengaluru,Bangalore Urban,Anekal,Attibele,66,27-07-2007
52,52,Bengaluru,Bangalore Urban,Bangalore South,Austin Town,66,02-12-1995
53,53,Bengaluru,Kolar,Mulbagal,Avani (Kashipura),66,27-09-2007
54,54,Bengaluru,Bangalore Urban,Bangalore East,B' Station,66,18-12-1995
55,55,Bengaluru,CB Pura,Bagepalli,Bagepalli,66,01-01-1964
56,56,Bengaluru,Bangalore Urban,Bangalore South,Bagmane Tech Park,66,22-12-2005
57,57,Bengaluru,Kolar,Mulbagal,Bairakur,66,07-10-2013
58,58,Bengaluru,Bangalore Urban,Bangalore South,Banashankari,66,24-01-1987
59,59,Bengaluru,Bangalore Urban,Bangalore East,Banaswadi.,66,01-05-1989
60,60,Bengaluru,Kolar,Bangarpet,Bangarpet,66,01-01-1991
61,61,Bengaluru,Bangalore Urban,Bangalore South,Bannergatta Road,66,12-03-2003
62,62,Bengaluru,Bangalore Urban,Bangalore North,"Bengaluru InternationalExhibition center (BIEC)",66,31-03-2018
63,63,Bengaluru,Ramanagar,Channapatna,Bevoor,66,05-08-2006
64,64,Bengaluru,Ramanagar,Ramanagara,Bidadi,66,29-10-1998
65,65,Bengaluru,Ramanagar,Kanakapura,"Bijjahalli(Arendappanahalli)",66,26-10-2017
66,66,Bengaluru,Bangalore Urban,Bangalore South,BMTC,66,26-02-2004
