_id,District,Micro Units,Micro Employment,Small units,Small Employment,Medium Units,Medium Employment,Total Enterprises,Total Employed
1,Bagalkot,42294,727388,449,5751,17,657,42760,733796
2,Ballari,40683,581134,1027,22484,85,5353,41795,608971
3,Belagavi,124062,866498,1401,37864,90,9648,125553,914010
4,Bengaluru (Rural),84533,808352,1611,67729,176,31598,86320,907679
5,Bengaluru (Urban),442703,2991942,15262,636971,1682,343647,459647,3972560
6,Bidar,30746,778269,393,6068,38,1325,31177,785662
7,Chamarajnagar,17610,127718,206,2264,4,962,17820,130944
8,Chikballapur,28475,212474,406,5558,15,833,28896,218865
9,Chikkamagaluru,26106,189336,416,6289,17,434,26539,196059
10,Chitradurga,29938,451810,480,6715,25,902,30443,459427
11,Dakshin Kannada,68502,537809,1367,42039,106,10809,69975,590657
12,Davangere,41835,426736,721,11045,28,2982,42584,440763
13,Dharwad,67339,437081,1186,27359,95,8337,68620,472777
14,Gadag,23648,249830,323,3294,7,287,23978,253411
15,Hassan,43242,739290,751,13819,34,828,44027,753937
16,Haveri,34601,290286,481,5767,20,707,35102,296760
17,Kalaburagi,38324,411788,763,10700,40,2753,39127,425241
18,Kodagu,13931,74668,235,2587,14,604,14180,77859
19,Kolar,32719,441704,557,13351,36,2765,33312,457820
20,Koppal,22458,235178,595,7794,24,983,23077,243955
21,Mandya,38311,350781,546,9786,11,356,38868,360923
22,Mysuru,94265,733655,1500,53240,89,9060,95854,795955
23,Raichur,29830,269473,865,9942,54,1321,30749,280736
24,Ramanagara,29873,282393,389,10930,27,5847,30289,299170
25,Shivamogga,47783,383188,751,16267,38,3954,48572,403409
26,Tumakuru,61701,643453,964,19086,50,6021,62715,668560
27,Udupi,41491,171546,763,23104,59,10694,42313,205344
28,Uttar Kannad,39508,171172,405,7161,9,494,39922,178827
29,Vijayanagar,12533,68431,174,2356,2,104,12709,70891
30,Vijayapura,43173,323620,641,15140,35,828,43849,339588
31,Yadgir,17454,224954,278,3198,14,515,17746,228667
32,TOTAL,1709671,15201957,35906,1105658,2941,465608,1748518,16773223
