"Ward_No","Ward Name","Govt Schools #"
"1","Kempegowda Ward","4"
"2","Chowdeswari Ward","6"
"3","Atturu","7"
"4","Yelahanka Satellite Town","4"
"5","Jakkuru","14"
"6","Thanisandra","9"
"7","Byatarayanapura","8"
"8","Kodigehalli","3"
"9","Vidyaranyapura","2"
"10","Dodda Bommasandra","1"
"11","Kuvempu Nagar","7"
"12","Shettihalli","5"
"13","Mallasandra","3"
"14","Bagalakunte","3"
"15","T Dasarahalli","3"
"16","Jalahalli","4"
"17","J P Park","2"
"18","Radhakrishna Temple Ward","1"
"19","Sanjaya Nagar","2"
"20","Ganga Nagar","2"
"21","Hebbala","3"
"22","Vishwanath Nagenahalli","4"
"23","Nagavara","7"
"24","HBR Layout","5"
"25","Horamavu","13"
"26","Ramamurthy Nagar","5"
"27","Banasavadi","4"
"28","Kammanahalli","1"
"29","Kacharkanahalli","1"
"30","Kadugondanahalli","2"
"31","Kushal Nagar","3"
"32","Kaval Bairasandra","1"
"33","Manorayana Palya","4"
"34","Gangenahalli","2"
"35","Aramane Nagara","1"
"36","Mattikere","4"
"37","Yeshwanthpura","3"
"38","HMT Ward","2"
"39","Chokkasandra","4"
"40","Dodda Bidarakallu","9"
"41","Peenya Industrial Area","5"
"42","Lakshmi Devi Nagar","3"
"43","Nandini Layout","1"
"44","Marappana Palya","2"
"45","Malleshwaram","4"
"46","Jayachamarajendra Nagar","3"
"47","Devara Jeevanahalli","2"
"48","Muneshwara Nagar","5"
"49","Lingarajapura","4"
"50","Benniganahalli","5"
"51","Vijnanapura","2"
"52","KR Puram","3"
"53","Basavanapura","7"
"54","Hudi","13"
"55","Devasandra","6"
"56","A Narayanapura","4"
"57","C.V. Raman Nagar","5"
"58","New Tippa Sandra","4"
"59","Maruthi Seva Nagar","6"
"60","Sagayara Puram","3"
"61","SK Garden","4"
"62","Ramaswamy Palya","5"
"63","Jaya Mahal","2"
"64","Raj Mahal Guttahalli","2"
"65","Kadu Malleshwar Ward","6"
"66","Subramanya Nagar","2"
"67","Nagapura","1"
"68","Mahalakshmipuram","3"
"69","Laggere","2"
"70","Rajagopal Nagar","4"
"71","Hegganahalli","6"
"72","Herohalli","4"
"73","Kottegepalya","1"
"74","Shakthi Ganapathi Nagar","3"
"75","Shankar Matt","1"
"76","Gayithri Nagar","0"
"77","Dattatreya Temple Ward","2"
"78","Pulakeshi Nagar","3"
"79","Sarvagna Nagar","4"
"80","Hoysala Nagar","0"
"81","Vijnana Nagar","3"
"82","Garudachar palya","6"
"83","Kadugodi","7"
"84","Hagadur","2"
"85","Dodda Nekkundi","0"
"86","Marathahalli","6"
"87","HAL Airport","3"
"88","Jeevanbhima Nagar","4"
"89","Jogupalya","0"
"90","Halsoor","4"
"91","Bharathi Nagar","2"
"92","Shivaji Nagar","3"
"93","Vasanth Nagar","7"
"94","Gandhi Nagar","6"
"95","Subhash Nagar","3"
"96","Okalipuram","3"
"97","Dayananda Nagar","3"
"98","Prakash Nagar","4"
"99","Rajaji Nagar","1"
"100","Basaveshwara Nagar","1"
"101","Kamakshipalya","2"
"102","Vrisahbhavathi Nagar","3"
"103","Kaveripura","2"
"104","Govindaraja Nagar","1"
"105","Agrahara Dasarahalli","1"
"106","Dr.Raj Kumar Ward","1"
"107","Shiva Nagar","1"
"108","Sri Rama Mandir Ward","4"
"109","Chickpete","2"
"110","Sampangiram Nagar","6"
"111","Shantala Nagar","1"
"112","Domlur","3"
"113","Konena Agrahara","2"
"114","Agaram","3"
"115","Vannar Pet","1"
"116","Nilasandra","7"
"117","Shanthi Nagar","2"
"118","Sudham Nagar","4"
"119","Dharmaraya Swamy Temple","1"
"120","Cottonpete","2"
"121","Binni Pete","1"
"122","Kempapura Agrahara","1"
"123","Vijaya Nagar","1"
"124","Hosahalli","1"
"125","Marenahalli","0"
"126","Maruthi Mandir Ward","2"
"127","Mudalapalya","3"
"128","Nagarabhavi","8"
"129","Jnana Bharathi Ward","9"
"130","Ullalu","4"
"131","Nayandahalli","2"
"132","Attiguppe","0"
"133","Hampi Nagar","5"
"134","Bapuji Nagar","3"
"135","Padarayanapura","0"
"136","Jagajivanaram Nagar","3"
"137","Rayapuram","4"
"138","Chelavadi Palya","8"
"139","KR Market","9"
"140","Chamraja Pet","3"
"141","Azad Nagar","2"
"142","Sunkenahalli","3"
"143","Vishveshwara Puram","2"
"144","Siddapura","5"
"145","Hombegowda Nagar","5"
"146","Lakkasandra","0"
"147","Adugodi","2"
"148","Ejipura","9"
"149","Varthur","11"
"150","Bellanduru","3"
"151","Koramangala","1"
"152","Suddagunte Palya","6"
"153","Jaya Nagar","1"
"154","Basavanagudi","3"
"155","Hanumanth Nagar","1"
"156","Sri Nagar","2"
"157","Gali Anjenaya Temple Ward","5"
"158","Deepanjali Nagar","8"
"159","Kengeri","4"
"160","Raja Rajeshawari Nagar","2"
"161","Hosakerehalli","0"
"162","Giri Nagar","1"
"163","Katriguppe","0"
"164","Vidya Peeta Ward","0"
"165","Ganesh Mandir Ward","2"
"166","Kari Sandra","2"
"167","Yediyur","0"
"168","Pattabhi Ram Nagar","3"
"169","Byra Sandra","2"
"170","Jaya Nagar East","3"
"171","Gurappana Palya","3"
"172","Madivala","3"
"173","Jakka Sandra","5"
"174","HSR Layout","3"
"175","Bommanahalli","3"
"176","BTM Layout","2"
"177","JP Nagar","1"
"178","Sarakki","1"
"179","Shakambari Narar","5"
"180","Banashankari Temple Ward","3"
"181","Kumara Swamy Layout","2"
"182","Padmanabha Nagar","0"
"183","Chikkala Sandra","7"
"184","Uttarahalli","2"
"185","Yelchenahalli","1"
"186","Jaraganahalli","3"
"187","Puttenahalli","1"
"188","Bilekhalli","1"
"189","Honga Sandra","3"
"190","Mangammana Palya","4"
"191","Singa Sandra","12"
"192","Begur","4"
"193","Arakere","4"
"194","Gottigere","2"
"195","Konankunte","9"
"196","Anjanapura","3"
"197","Vasanthpura","15"
"198","Hemmigepura","0"
"Total","","684"
