STPId,STPName,Latitude,Longitude,PlantType,TreatmentCapacity (KLD),Status
9,Hebbal  60MLD,12.940545,77.654822,Sewage Treatment Plant       ,60000,TRUE
10,Horamavu  Agara 20 MLD,13.0471,77.662156,Sewage Treatment Plant       ,20000,TRUE
12,Jakkur 15 MLD,13.093947,77.605731,Tertiary Treatment Plant       ,15000,TRUE
26,Rajacanal (new) 40 MLD,13.045512,77.64674,Sewage Treatment Plant       ,40000,TRUE
27,Rajacanal (old) 40 MLD,13.045828,77.646176,Sewage Treatment Plant       ,40000,TRUE
32,Yelahanka TTP 10 MLD,13.101111,77.586166,Sewage Treatment Plant       ,10000,TRUE
1,Agaram 35.0 MLD,12.91631,77.64047,Sewage Treatment Plant       ,35000,TRUE
2,Bellandur Amani kere 90.MLD,12.940004,77.716626,Sewage Treatment Plant       ,90000,TRUE
3,Chickbegur 5 MLD,12.885397,77.63589,Sewage Treatment Plant       ,5000,TRUE
5,Cubbon Park 4.0 MLD,12.979186,77.593603,Tertiary Treatment Plant       ,4000,TRUE
8,Halasuru 2.0 MLD,12.975652,77.640011,Sewage Treatment Plant       ,2000,TRUE
11,Hulimavu 10 MLD,12.87193,77.604156,Sewage Treatment Plant       ,10000,TRUE
13,K&C Valley 218 MLD,12.942407,77.654276,Sewage Treatment Plant       ,218000,TRUE
14,K&C Valley 30MLD,12.942407,77.654276,Sewage Treatment Plant       ,30000,TRUE
15,K&C Valley 60 MLD,12.940599,77.654757,Sewage Treatment Plant       ,60000,TRUE
16,K.R.Puram 20 MLD,13.017071,77.693303,Sewage Treatment Plant       ,20000,TRUE
17,Kadabeesanahalli 50 MLD,12.9466,77.698116,Sewage Treatment Plant       ,50000,TRUE
18,Kadugodi 6 MLD,12.996592,77.777005,Sewage Treatment Plant       ,5000,TRUE
21,Lalbagh 1.5 MLD,12.94517,77.5838,Tertiary Treatment Plant       ,1500,TRUE
28,Sarakki 5 MLD,12.899414,77.579867,Sewage Treatment Plant       ,5000,TRUE
33,Yelemallappa Chetti 15 MLD,13.023344,77.729414,Sewage Treatment Plant       ,15000,TRUE
4,Chikkabanavara 5 MLD,13.083059,77.512259,Sewage Treatment Plant       ,5000,TRUE
6,Doddabele 20 MLD,12.898309,77.47753,Sewage Treatment Plant       ,20000,TRUE
7,Doddabele 40 MLD,12.898131,77.477566,Sewage Treatment Plant       ,40000,TRUE
19,Kempambudhi 1.0 MLD,12.952544,77.557659,Sewage Treatment Plant       ,1000,TRUE
20,Kengeri 60 MLD,12.916022,77.48988,Sewage Treatment Plant       ,60000,TRUE
22,Mailasandra Ph-I 75 MLD,12.921265,77.50262,Sewage Treatment Plant       ,75000,TRUE
23,Mallathahalli 5.0 MLD,12.967846,77.495002,Sewage Treatment Plant       ,5000,TRUE
24,Nagasandra ( new) 20 MLD,13.043003,77.492871,Sewage Treatment Plant       ,20000,TRUE
25,Nagasandra(old) 20MLD,13.042753,77.492613,Sewage Treatment Plant       ,20000,TRUE
29,V.Valley 150 MLD,12.940942,77.654785,Sewage Treatment Plant       ,60000,FALSE
30,V.Valley 180 MLD Secondary,12.934804,77.519659,Sewage Treatment Plant       ,150000,FALSE
31,V.Valley 60 MLD Tertiary,12.934804,77.519659,Sewage Treatment Plant       ,180000,TRUE
39,5th Phase Yelahanka 1 MLD ISPS,13.101111,77.586166,Intermediate Sewage Pumping Station      ,          ,TRUE
34,Agaram 65 MLD ISPS,12.92562,77.63996,Intermediate Sewage Pumping Station      ,          ,TRUE
35,Karibhavanahalli 5 MLD ISPS,13.044947,77.646376,Intermediate Sewage Pumping Station      ,          ,TRUE
38,Koramangala 210 MLD ISPS,12.946972,77.623667,Intermediate Sewage Pumping Station      ,          ,TRUE
36,Rajacanal 20 MLD ISPS,13.044947,77.646376,Intermediate Sewage Pumping Station      ,          ,TRUE
37,Sadaramangala 5 MLD ISPS,12.998234,77.725326,Intermediate Sewage Pumping Station      ,          ,TRUE
